state,year,poverty
MD,2008,8.7
MA,2008,11.3
MI,2008,13
MN,2008,9.9
MS,2008,18.1
MO,2008,13.3
MT,2008,12.9
NE,2008,10.6
NV,2008,10.8
NH,2008,7
NJ,2008,9.2
NM,2008,19.3
NY,2008,14.2
NC,2008,13.9
ND,2008,11.8
OH,2008,13.7
OK,2008,13.6
OR,2008,10.6
PA,2008,11
RI,2008,12.7
SC,2008,14
SD,2008,13.1
TN,2008,15
TX,2008,15.9
UT,2008,7.6
VT,2008,9
VA,2008,10.3
WA,2008,10.4
WV,2008,14.5
WI,2008,9.8
WY,2008,10.1
AL,2007,14.5
AK,2007,7.6
AZ,2007,14.3
AR,2007,13.8
CA,2007,12.7
CO,2007,9.8
CT,2007,8.9
DE,2007,9.3
FL,2007,12.5
GA,2007,13.6
HI,2007,7.5
ID,2007,9.9
IL,2007,10
IN,2007,11.8
IA,2007,8.9
KS,2007,11.7
KY,2007,15.5
LA,2007,16.1
ME,2007,10.9
MD,2007,8.8
MA,2007,11.2
MI,2007,10.8
MN,2007,9.3
MS,2007,22.6
MO,2007,12.8
MT,2007,13
NE,2007,9.9
NV,2007,9.7
NH,2007,5.8
NJ,2007,8.7
NM,2007,14
NY,2007,14.5
NC,2007,15.5
ND,2007,9.3
OH,2007,12.8
OK,2007,13.4
OR,2007,12.8
PA,2007,10.4
RI,2007,9.5
SC,2007,14.1
SD,2007,9.4
TN,2007,14.8
TX,2007,16.5
UT,2007,9.6
VT,2007,9.9
VA,2007,8.6
WA,2007,10.2
WV,2007,14.8
WI,2007,11
WY,2007,10.9
AL,2006,14.3
AK,2006,8.9
AZ,2006,14.4
AR,2006,17.7
CA,2006,12.2
CO,2006,9.7
CT,2006,8
DE,2006,9.3
FL,2006,11.5
GA,2006,12.6
HI,2006,9.2
ID,2006,9.5
IL,2006,10.6
IN,2006,10.6
IA,2006,10.3
KS,2006,12.8
KY,2006,16.8
LA,2006,17
ME,2006,10.2
MD,2006,8.4
MA,2006,12
MI,2006,13.3
MN,2006,8.2
MS,2006,20.6
MO,2006,11.4
MT,2006,13.5
NE,2006,10.2
NV,2006,9.5
NH,2006,5.4
NJ,2006,8.8
NM,2006,16.9
NY,2006,14
NC,2006,13.8
ND,2006,11.4
OH,2006,12.1
OK,2006,15.2
OR,2006,11.8
PA,2006,11.3
RI,2006,10.5
SC,2006,11.2
SD,2006,10.7
TN,2006,14.9
TX,2006,16.4
UT,2006,9.3
VT,2006,7.8
VA,2006,8.6
WA,2006,8
WV,2006,15.3
WI,2006,10.1
WY,2006,10
AL,2005,16.7
AK,2005,10
AZ,2005,15.2
AR,2005,13.8
CA,2005,13.2
CO,2005,11.4
CT,2005,9.3
DE,2005,9.2
FL,2005,11.1
GA,2005,14.4
HI,2005,8.6
ID,2005,9.9
IL,2005,11.5
IN,2005,12.6
IA,2005,11.3
KS,2005,12.5
KY,2005,14.8
LA,2005,18.3
ME,2005,12.6
MD,2005,9.7
MA,2005,10.1
MI,2005,12
MN,2005,8.1
MS,2005,20.1
MO,2005,11.6
MT,2005,13.8
NE,2005,9.5
NV,2005,10.6
NH,2005,5.6
NJ,2005,6.8
NM,2005,17.9
NY,2005,14.5
NC,2005,13.1
ND,2005,11.2
OH,2005,12.3
OK,2005,15.6
OR,2005,12
PA,2005,11.2
RI,2005,12.1
SC,2005,15
SD,2005,11.8
TN,2005,14.9
TX,2005,16.2
UT,2005,9.2
VT,2005,7.6
VA,2005,9.2
WA,2005,10.2
WV,2005,15.4
WI,2005,10.2
WY,2005,10.6
AL,2004,16.9
AK,2004,9.1
AZ,2004,14.4
AR,2004,15.1
CA,2004,13.2
CO,2004,10
CT,2004,10.1
DE,2004,9
FL,2004,11.6
GA,2004,13
HI,2004,8.6
ID,2004,9.9
IL,2004,12.3
IN,2004,11.6
IA,2004,10.9
KS,2004,11.4
KY,2004,17.8
LA,2004,16.8
ME,2004,11.6
MD,2004,9.9
MA,2004,9.3
MI,2004,13.3
MN,2004,7
MS,2004,18.7
MO,2004,12.2
MT,2004,14.2
NE,2004,9.5
NV,2004,10.9
NH,2004,5.5
NJ,2004,8
NM,2004,16.5
NY,2004,15
NC,2004,14.6
ND,2004,9.7
OH,2004,11.6
OK,2004,10.8
OR,2004,11.8
PA,2004,11.4
RI,2004,11.5
SC,2004,14.9
SD,2004,13.5
TN,2004,15.9
TX,2004,16.5
UT,2004,10.1
VT,2004,7.8
VA,2004,9.4
WA,2004,11.4
WV,2004,14.2
WI,2004,12.4
WY,2004,10
AL,2003,15
AK,2003,9.6
AZ,2003,13.5
AR,2003,17.8
CA,2003,13.1
CO,2003,9.7
CT,2003,8.1
DE,2003,7.3
FL,2003,12.7
GA,2003,11.9
HI,2003,9.3
ID,2003,10.2
IL,2003,12.6
IN,2003,9.9
IA,2003,8.9
KS,2003,10.8
KY,2003,14.4
LA,2003,17
ME,2003,11.6
MD,2003,8.6
MA,2003,10.3
MI,2003,11.4
MN,2003,7.4
MS,2003,16
MO,2003,10.7
MT,2003,15.1
NE,2003,9.8
NV,2003,10.9
NH,2003,5.8
NJ,2003,8.6
NM,2003,18.1
NY,2003,14.3
NC,2003,15.7
ND,2003,9.7
OH,2003,10.9
OK,2003,12.8
OR,2003,12.5
PA,2003,10.5
RI,2003,11.5
SC,2003,12.7
SD,2003,12.7
TN,2003,14
TX,2003,17
UT,2003,9.1
VT,2003,8.5
VA,2003,10
WA,2003,12.6
WV,2003,17.4
WI,2003,9.8
WY,2003,9.8
AL,2002,14.5
AK,2002,8.8
AZ,2002,13.5
AR,2002,19.8
CA,2002,13.1
CO,2002,9.8
CT,2002,8.3
DE,2002,9.1
FL,2002,12.6
GA,2002,11.2
HI,2002,11.3
ID,2002,11.3
IL,2002,12.8
IN,2002,9.1
IA,2002,9.2
KS,2002,10.1
KY,2002,14.2
LA,2002,17.5
ME,2002,13.4
MD,2002,7.4
MA,2002,10
MI,2002,11.6
MN,2002,6.5
MS,2002,18.4
MO,2002,9.9
MT,2002,13.5
NE,2002,10.6
NV,2002,8.9
NH,2002,5.8
NJ,2002,7.9
NM,2002,17.9
NY,2002,14
NC,2002,14.3
ND,2002,11.6
OH,2002,9.8
OK,2002,14.1
OR,2002,10.9
PA,2002,9.5
RI,2002,11
SC,2002,14.3
SD,2002,11.5
TN,2002,14.8
TX,2002,15.6
UT,2002,9.9
VT,2002,9.9
VA,2002,9.9
WA,2002,11
WV,2002,16.8
WI,2002,8.6
WY,2002,9
AL,2001,15.9
AK,2001,8.5
AZ,2001,14.6
AR,2001,17.8
CA,2001,12.6
CO,2001,8.7
CT,2001,7.3
DE,2001,6.7
FL,2001,12.7
GA,2001,12.9
HI,2001,11.4
ID,2001,11.5
IL,2001,10.1
IN,2001,8.5
IA,2001,7.4
KS,2001,10.1
KY,2001,12.6
LA,2001,16.2
ME,2001,10.3
MD,2001,7.2
MA,2001,8.9
MI,2001,9.4
MN,2001,7.4
MS,2001,19.3
MO,2001,9.7
MT,2001,13.3
NE,2001,9.4
NV,2001,7.1
NH,2001,6.5
NJ,2001,8.1
NM,2001,18
NY,2001,14.2
NC,2001,12.5
ND,2001,13.8
OH,2001,10.5
OK,2001,15.1
OR,2001,11.8
PA,2001,9.6
RI,2001,9.6
SC,2001,15.1
SD,2001,8.4
TN,2001,14.1
TX,2001,14.9
UT,2001,10.5
VT,2001,9.7
VA,2001,8
WA,2001,10.7
WV,2001,16.4
WI,2001,7.9
WY,2001,8.7
AL,2000,13.3
AK,2000,7.6
AZ,2000,11.7
AR,2000,16.5
CA,2000,12.7
CO,2000,9.8
CT,2000,7.7
DE,2000,8.4
FL,2000,11
GA,2000,12.1
HI,2000,8.9
ID,2000,12.5
IL,2000,10.7
IN,2000,8.5
IA,2000,8.3
KS,2000,8
KY,2000,12.6
LA,2000,17.2
ME,2000,10.1
MD,2000,7.4
MA,2000,9.8
MI,2000,9.9
MN,2000,5.7
MS,2000,14.9
MO,2000,9.2
MT,2000,14.1
NE,2000,8.6
NV,2000,8.8
NH,2000,4.5
NJ,2000,7.3
NM,2000,17.5
NY,2000,13.9
NC,2000,12.5
ND,2000,10.4
OH,2000,10
OK,2000,14.9
OR,2000,10.9
PA,2000,8.6
RI,2000,10.2
SC,2000,11.1
SD,2000,10.7
TN,2000,13.5
TX,2000,15.5
UT,2000,7.6
VT,2000,10
VA,2000,8.3
WA,2000,10.8
WV,2000,14.7
WI,2000,9.3
WY,2000,10.8
AL,1999,15.2
AK,1999,7.6
AZ,1999,12.2
AR,1999,14.7
CA,1999,14
CO,1999,8.5
CT,1999,7.2
DE,1999,10.4
FL,1999,12.4
GA,1999,12.8
HI,1999,10.8
ID,1999,14.1
IL,1999,9.9
IN,1999,6.7
IA,1999,7.4
KS,1999,12.3
KY,1999,12.1
LA,1999,19.2
ME,1999,10.6
MD,1999,7.3
MA,1999,11.8
MI,1999,9.7
MN,1999,7.3
MS,1999,16.2
MO,1999,11.7
MT,1999,15.8
NE,1999,11
NV,1999,11.3
NH,1999,7.6
NJ,1999,7.8
NM,1999,20.9
NY,1999,14.2
NC,1999,13.8
ND,1999,13.1
OH,1999,12
OK,1999,12.8
OR,1999,12.6
PA,1999,9.3
RI,1999,10
SC,1999,11.7
SD,1999,7.7
TN,1999,11.9
TX,1999,15.2
UT,1999,5.7
VT,1999,9.6
VA,1999,7.9
WA,1999,9.6
WV,1999,15.7
WI,1999,8.6
WY,1999,11.6
AL,1998,14.5
AK,1998,9.4
AZ,1998,16.6
AR,1998,14.7
CA,1998,15.4
CO,1998,9.2
CT,1998,9.5
DE,1998,10.3
FL,1998,13.1
GA,1998,13.5
HI,1998,10.9
ID,1998,13
IL,1998,10.1
IN,1998,9.4
IA,1998,9.1
KS,1998,9.6
KY,1998,13.5
LA,1998,19.1
ME,1998,10.4
MD,1998,7.2
MA,1998,8.7
MI,1998,11
MN,1998,10.3
MS,1998,17.6
MO,1998,9.8
MT,1998,16.6
NE,1998,12.3
NV,1998,10.6
NH,1998,9.8
NJ,1998,8.6
NM,1998,20.4
NY,1998,16.7
NC,1998,14
ND,1998,15.1
OH,1998,11.2
OK,1998,14.1
OR,1998,15
PA,1998,11.3
RI,1998,11.6
SC,1998,13.7
SD,1998,10.8
TN,1998,13.4
TX,1998,15.1
UT,1998,9
VT,1998,9.9
VA,1998,8.8
WA,1998,8.9
WV,1998,17.8
WI,1998,8.8
WY,1998,10.6
AL,1997,15.7
AK,1997,8.8
AZ,1997,17.2
AR,1997,19.7
CA,1997,16.6
CO,1997,8.2
CT,1997,8.6
DE,1997,9.6
FL,1997,14.3
GA,1997,14.5
HI,1997,13.9
ID,1997,14.7
IL,1997,11.2
IN,1997,8.8
IA,1997,9.6
KS,1997,9.7
KY,1997,15.9
LA,1997,16.3
ME,1997,10.1
MD,1997,8.4
MA,1997,12.2
MI,1997,10.3
MN,1997,9.6
MS,1997,16.7
MO,1997,11.8
MT,1997,15.6
NE,1997,9.8
NV,1997,11
NH,1997,9.1
NJ,1997,9.3
NM,1997,21.2
NY,1997,16.5
NC,1997,11.4
ND,1997,13.6
OH,1997,11
OK,1997,13.7
OR,1997,11.6
PA,1997,11.2
RI,1997,12.7
SC,1997,13.1
SD,1997,16.5
TN,1997,14.3
TX,1997,16.7
UT,1997,8.9
VT,1997,9.3
VA,1997,12.7
WA,1997,9.2
WV,1997,16.4
WI,1997,8.2
WY,1997,13.5
AL,1996,14
AK,1996,8.2
AZ,1996,20.5
AR,1996,17.2
CA,1996,16.9
CO,1996,10.6
CT,1996,11.7
DE,1996,8.6
FL,1996,14.2
GA,1996,14.8
HI,1996,12.1
ID,1996,11.9
IL,1996,12.1
IN,1996,7.5
IA,1996,9.6
KS,1996,11.2
KY,1996,17
LA,1996,20.5
ME,1996,11.2
MD,1996,10.3
MA,1996,10.1
MI,1996,11.2
MN,1996,9.8
MS,1996,20.6
MO,1996,9.5
MT,1996,17
NE,1996,10.2
NV,1996,8.1
NH,1996,6.4
NJ,1996,9.2
NM,1996,25.5
NY,1996,16.7
NC,1996,12.2
ND,1996,11
OH,1996,12.7
OK,1996,16.6
OR,1996,11.8
PA,1996,11.6
RI,1996,11
SC,1996,13
SD,1996,11.8
TN,1996,15.9
TX,1996,16.6
UT,1996,7.7
VT,1996,12.6
VA,1996,12.3
WA,1996,11.9
WV,1996,18.5
WI,1996,8.8
WY,1996,11.9
AL,1995,20.1
AK,1995,7.1
AZ,1995,16.1
AR,1995,14.9
CA,1995,16.7
CO,1995,8.8
CT,1995,9.7
DE,1995,10.3
FL,1995,16.2
GA,1995,12.1
HI,1995,10.3
ID,1995,14.5
IL,1995,12.4
IN,1995,9.6
IA,1995,12.2
KS,1995,10.8
KY,1995,14.7
LA,1995,19.7
ME,1995,11.2
MD,1995,10.1
MA,1995,11
MI,1995,12.2
MN,1995,9.2
MS,1995,23.5
MO,1995,9.4
MT,1995,15.3
NE,1995,9.6
NV,1995,11.1
NH,1995,5.3
NJ,1995,7.8
NM,1995,25.3
NY,1995,16.5
NC,1995,12.6
ND,1995,12
OH,1995,11.5
OK,1995,17.1
OR,1995,11.2
PA,1995,12.2
RI,1995,10.6
SC,1995,19.9
SD,1995,14.5
TN,1995,15.5
TX,1995,17.4
UT,1995,8.4
VT,1995,10.3
VA,1995,10.2
WA,1995,12.5
WV,1995,16.7
WI,1995,8.5
WY,1995,12.2
AL,1994,16.4
AK,1994,10.2
AZ,1994,15.9
AR,1994,15.3
CA,1994,17.9
CO,1994,9
CT,1994,10.8
DE,1994,8.3
FL,1994,14.9
GA,1994,14
HI,1994,8.7
ID,1994,12
IL,1994,12.4
IN,1994,13.7
IA,1994,10.7
KS,1994,14.9
KY,1994,18.5
LA,1994,25.7
ME,1994,9.4
MD,1994,10.7
MA,1994,9.7
MI,1994,14.1
MN,1994,11.7
MS,1994,19.9
MO,1994,15.6
MT,1994,11.5
NE,1994,8.8
NV,1994,11.1
NH,1994,7.7
NJ,1994,9.2
NM,1994,21.1
NY,1994,17
NC,1994,14.2
ND,1994,10.4
OH,1994,14.1
OK,1994,16.7
OR,1994,11.8
PA,1994,12.5
RI,1994,10.3
SC,1994,13.8
SD,1994,14.5
TN,1994,14.6
TX,1994,19.1
UT,1994,8
VT,1994,7.6
VA,1994,10.7
WA,1994,11.7
WV,1994,18.6
WI,1994,9
WY,1994,9.3
AL,1993,17.4
AK,1993,9.1
AZ,1993,15.4
AR,1993,20
CA,1993,18.2
CO,1993,9.9
CT,1993,8.5
DE,1993,10.2
FL,1993,17.8
GA,1993,13.5
HI,1993,8
ID,1993,13.1
IL,1993,13.6
IN,1993,12.2
IA,1993,10.3
KS,1993,13.1
KY,1993,20.4
LA,1993,26.4
ME,1993,15.4
MD,1993,9.7
MA,1993,10.7
MI,1993,15.4
MN,1993,11.6
MS,1993,24.7
MO,1993,16.1
MT,1993,14.9
NE,1993,10.3
NV,1993,9.8
NH,1993,9.9
NJ,1993,10.9
NM,1993,17.4
NY,1993,16.4
NC,1993,14.4
ND,1993,11.2
OH,1993,13
OK,1993,19.9
OR,1993,11.8
PA,1993,13.2
RI,1993,11.2
SC,1993,18.7
SD,1993,14.2
TN,1993,19.6
TX,1993,17.4
UT,1993,10.7
VT,1993,10
VA,1993,9.7
WA,1993,12.1
WV,1993,22.2
WI,1993,12.6
WY,1993,13.3
AL,1992,17.3
AK,1992,10.2
AZ,1992,15.8
AR,1992,17.5
CA,1992,16.4
