state,year, population 
CA,1986," 27,102,237 "
CO,1986," 3,237,450 "
CT,1986," 3,223,740 "
DE,1986," 627,559 "
DC,1986," 638,269 "
FL,1986," 11,667,505 "
GA,1986," 6,084,666 "
HI,1986," 1,051,762 "
ID,1986," 990,224 "
IL,1986," 11,387,257 "
IN,1986," 5,454,108 "
IA,1986," 2,791,970 "
KS,1986," 2,432,619 "
KY,1986," 3,687,809 "
LA,1986," 4,406,919 "
ME,1986," 1,170,126 "
MD,1986," 4,486,957 "
MA,1986," 5,902,678 "
MI,1986," 9,127,775 "
MN,1986," 4,205,212 "
MS,1986," 2,593,597 "
MO,1986," 5,023,068 "
MT,1986," 813,739 "
NE,1986," 1,574,333 "
NV,1986," 980,613 "
NH,1986," 1,025,053 "
NJ,1986," 7,622,159 "
NM,1986," 1,462,729 "
NY,1986," 17,833,419 "
NC,1986," 6,321,578 "
ND,1986," 669,512 "
OH,1986," 10,730,268 "
OK,1986," 3,252,735 "
OR,1986," 2,683,528 "
PA,1986," 11,782,752 "
RI,1986," 977,341 "
SC,1986," 3,342,758 "
SD,1986," 696,034 "
TN,1986," 4,738,708 "
TX,1986," 16,561,113 "
UT,1986," 1,662,834 "
VT,1986," 534,066 "
VA,1986," 5,811,700 "
WA,1986," 4,452,720 "
WV,1986," 1,882,350 "
WI,1986," 4,755,618 "
WY,1986," 495,633 "
AL,1987," 4,015,264 "
AK,1987," 539,309 "
AZ,1987," 3,437,103 "
AR,1987," 2,342,355 "
CA,1987," 27,777,158 "
CO,1987," 3,260,480 "
CT,1987," 3,247,291 "
DE,1987," 636,947 "
DC,1987," 636,930 "
FL,1987," 11,997,283 "
GA,1987," 6,208,467 "
HI,1987," 1,067,918 "
ID,1987," 984,997 "
IL,1987," 11,391,178 "
IN,1987," 5,473,012 "
IA,1987," 2,767,011 "
KS,1987," 2,445,367 "
KY,1987," 3,683,329 "
LA,1987," 4,344,148 "
ME,1987," 1,184,574 "
MD,1987," 4,565,557 "
MA,1987," 5,935,204 "
MI,1987," 9,187,481 "
MN,1987," 4,235,136 "
MS,1987," 2,588,545 "
MO,1987," 5,056,696 "
MT,1987," 805,063 "
NE,1987," 1,566,547 "
NV,1987," 1,023,376 "
