"year","period","periodName","value","state","quarter","HPI","annual"
2005,"M12","December","5.1","TN",4,"275.58","1"
2006,"M12","December","4.4","TN",4,"294.5","1"
2007,"M12","December","5.4","TN",4,"303.26","1"
2008,"M12","December","8.1","TN",4,"300.03","1"
2009,"M12","December","10.3","TN",4,"289.71","1"
2010,"M12","December","9.2","TN",4,"287.53","1"
2011,"M12","December","7.8","TN",4,"281.04","1"
2012,"M12","December","7.7","TN",4,"281.07","1"
2013,"M12","December","6.8","TN",4,"286.49","1"
2014,"M12","December","5.9","TN",4,"300.54","1"
2015,"M12","December","4.7","TN",4,"314.83","1"
2016,"M12","December","4.4","TN",4,"336.2","1"
2017,"M12","December","3.3","TN",4,"361.05","1"
2018,"M12","December","3.2","TN",4,"386.75","1"
2019,"M12","December","3.1","TN",4,"409.96","1"
1976,"M12","December","5.2","TX",4,"63.23","1"
1977,"M12","December","4.5","TX",4,"73.32","1"
1978,"M12","December","4.2","TX",4,"85.6","1"
1979,"M12","December","3.7","TX",4,"96.8","1"
1980,"M12","December","4.6","TX",4,"106.15","1"
1981,"M12","December","5.1","TX",4,"120.39","1"
1982,"M12","December","7.9","TX",4,"126.93","1"
1983,"M12","December","6.5","TX",4,"127.32","1"
1984,"M12","December","5.8","TX",4,"129.26","1"
1985,"M12","December","6.9","TX",4,"127.78","1"
1986,"M12","December","8.5","TX",4,"127.63","1"
1987,"M12","December","7.4","TX",4,"115.69","1"
1988,"M12","December","6.5","TX",4,"113.77","1"
1989,"M12","December","6.0","TX",4,"116.86","1"
1990,"M12","December","6.3","TX",4,"117.16","1"
1991,"M12","December","7.0","TX",4,"121.32","1"
1992,"M12","December","7.2","TX",4,"125.51","1"
1993,"M12","December","6.4","TX",4,"129.71","1"
1994,"M12","December","5.4","TX",4,"130.14","1"
1995,"M12","December","5.7","TX",4,"135.01","1"
1996,"M12","December","5.2","TX",4,"136.92","1"
1997,"M12","December","4.5","TX",4,"141.67","1"
1998,"M12","December","4.3","TX",4,"148.81","1"
1999,"M12","December","4.2","TX",4,"157.53","1"
2000,"M12","December","3.5","TX",4,"166.87","1"
2001,"M12","December","5.6","TX",4,"177.13","1"
2002,"M12","December","6.2","TX",4,"183.83","1"
2003,"M12","December","5.8","TX",4,"187.61","1"
2004,"M12","December","5.5","TX",4,"194.14","1"
2005,"M12","December","5.0","TX",4,"203.82","1"
2006,"M12","December","4.1","TX",4,"215.43","1"
2007,"M12","December","4.2","TX",4,"224.3","1"
2008,"M12","December","5.5","TX",4,"225.85","1"
2009,"M12","December","8.0","TX",4,"224.11","1"
2010,"M12","December","7.8","TX",4,"223.2","1"
2011,"M12","December","6.9","TX",4,"220.88","1"
2012,"M12","December","6.2","TX",4,"225.92","1"
2013,"M12","December","5.4","TX",4,"238.32","1"
2014,"M12","December","4.2","TX",4,"256.07","1"
2015,"M12","December","4.2","TX",4,"274.97","1"
2016,"M12","December","4.5","TX",4,"295.5","1"
2017,"M12","December","3.8","TX",4,"317.01","1"
2018,"M12","December","3.6","TX",4,"334.92","1"
2019,"M12","December","3.3","TX",4,"353.19","1"
1976,"M12","December","4.8","UT",4,"64.31","1"
1977,"M12","December","3.9","UT",4,"74.85","1"
1978,"M12","December","3.3","UT",4,"89.99","1"
1979,"M12","December","4.4","UT",4,"99.4","1"
1980,"M12","December","6.1","UT",4,"103.81","1"
1981,"M12","December","6.4","UT",4,"112.2","1"
1982,"M12","December","9.0","UT",4,"114.72","1"
1983,"M12","December","6.9","UT",4,"113.09","1"
1984,"M12","December","5.9","UT",4,"112.08","1"
1985,"M12","December","5.4","UT",4,"115.32","1"
1986,"M12","December","6.1","UT",4,"117.98","1"
1987,"M12","December","5.1","UT",4,"112.83","1"
1988,"M12","December","4.1","UT",4,"112.3","1"
1989,"M12","December","4.0","UT",4,"115.49","1"
1990,"M12","December","3.9","UT",4,"118.99","1"
1991,"M12","December","4.4","UT",4,"127.81","1"
1992,"M12","December","4.2","UT",4,"137.47","1"
1993,"M12","December","3.1","UT",4,"155.65","1"
1994,"M12","December","3.4","UT",4,"179.76","1"
1995,"M12","December","2.8","UT",4,"200.14","1"
1996,"M12","December","2.8","UT",4,"214.45","1"
1997,"M12","December","2.8","UT",4,"227.44","1"
1998,"M12","December","3.2","UT",4,"236.81","1"
1999,"M12","December","2.6","UT",4,"235.38","1"
2000,"M12","December","3.2","UT",4,"242.42","1"
2001,"M12","December","4.8","UT",4,"251.15","1"
2002,"M12","December","5.4","UT",4,"254.68","1"
2003,"M12","December","4.9","UT",4,"257.15","1"
2004,"M12","December","4.1","UT",4,"270.5","1"
2005,"M12","December","3.3","UT",4,"304.59","1"
2006,"M12","December","2.1","UT",4,"355.84","1"
2007,"M12","December","2.6","UT",4,"383.05","1"
2008,"M12","December","5.1","UT",4,"363.54","1"
2009,"M12","December","7.6","UT",4,"328.17","1"
2010,"M12","December","7.3","UT",4,"319.39","1"
2011,"M12","December","5.6","UT",4,"305.24","1"
2012,"M12","December","4.8","UT",4,"314.41","1"
2013,"M12","December","3.8","UT",4,"338.67","1"
2014,"M12","December","3.3","UT",4,"354.93","1"
2015,"M12","December","3.3","UT",4,"376.88","1"
2016,"M12","December","3.1","UT",4,"404.98","1"
2017,"M12","December","2.9","UT",4,"443.31","1"
2018,"M12","December","2.7","UT",4,"485.25","1"
2019,"M12","December","2.2","UT",4,"519.95","1"
1976,"M12","December","5.5","VA",4,"72.05","1"
1977,"M12","December","4.9","VA",4,"79.05","1"
1978,"M12","December","5.0","VA",4,"89.34","1"
1979,"M12","December","4.2","VA",4,"95.69","1"
1980,"M12","December","4.7","VA",4,"104.15","1"
1981,"M12","December","6.7","VA",4,"109.34","1"
1982,"M12","December","8.0","VA",4,"113.33","1"
1983,"M12","December","5.0","VA",4,"118.65","1"
1984,"M12","December","5.1","VA",4,"124.57","1"
1985,"M12","December","5.0","VA",4,"132.33","1"
1986,"M12","December","4.5","VA",4,"142.44","1"
1987,"M12","December","3.5","VA",4,"160.24","1"
1988,"M12","December","3.6","VA",4,"177.92","1"
1989,"M12","December","3.8","VA",4,"189.02","1"
1990,"M12","December","5.4","VA",4,"186.52","1"
1991,"M12","December","6.1","VA",4,"190.39","1"
1992,"M12","December","5.6","VA",4,"192.9","1"
1993,"M12","December","4.6","VA",4,"195.01","1"
1994,"M12","December","4.1","VA",4,"194.72","1"
1995,"M12","December","4.2","VA",4,"199.85","1"
1996,"M12","December","4.1","VA",4,"202.41","1"
1997,"M12","December","2.8","VA",4,"208.6","1"
1998,"M12","December","2.4","VA",4,"214.86","1"
1999,"M12","December","2.4","VA",4,"226.26","1"
2000,"M12","December","1.8","VA",4,"242.97","1"
2001,"M12","December","3.9","VA",4,"264.07","1"
2002,"M12","December","4.0","VA",4,"287.76","1"
2003,"M12","December","3.6","VA",4,"316.34","1"
2004,"M12","December","3.5","VA",4,"370.67","1"
2005,"M12","December","3.1","VA",4,"438.81","1"
2006,"M12","December","2.8","VA",4,"466.37","1"
2007,"M12","December","3.3","VA",4,"462.56","1"
2008,"M12","December","4.9","VA",4,"431.17","1"
2009,"M12","December","7.2","VA",4,"409.19","1"
2010,"M12","December","6.7","VA",4,"402.96","1"
2011,"M12","December","6.2","VA",4,"394.83","1"
2012,"M12","December","5.6","VA",4,"394.38","1"
2013,"M12","December","5.1","VA",4,"398.75","1"
2014,"M12","December","4.6","VA",4,"413.2","1"
2015,"M12","December","3.8","VA",4,"423.18","1"
2016,"M12","December","3.8","VA",4,"435.93","1"
2017,"M12","December","3.1","VA",4,"449.9","1"
2018,"M12","December","2.8","VA",4,"465.54","1"
2019,"M12","December","2.4","VA",4,"489.38","1"
1976,"M12","December","7.3","VT",4,"79.57","1"
1977,"M12","December","6.0","VT",4,"77.02","1"
1978,"M12","December","5.0","VT",4,"87.52","1"
1979,"M12","December","4.8","VT",4,"108.99","1"
1980,"M12","December","5.5","VT",4,"110.33","1"
1981,"M12","December","5.6","VT",4,"62.99","1"
1982,"M12","December","6.7","VT",4,"114.01","1"
1983,"M12","December","5.2","VT",4,"123.45","1"
1984,"M12","December","4.4","VT",4,"126.9","1"
1985,"M12","December","4.1","VT",4,"139.14","1"
1986,"M12","December","3.6","VT",4,"158.48","1"
1987,"M12","December","2.7","VT",4,"182.36","1"
1988,"M12","December","2.7","VT",4,"203.09","1"
1989,"M12","December","3.7","VT",4,"217.73","1"
1990,"M12","December","5.8","VT",4,"216.33","1"
1991,"M12","December","6.1","VT",4,"213.77","1"
1992,"M12","December","5.2","VT",4,"216.82","1"
1993,"M12","December","4.6","VT",4,"218.7","1"
1994,"M12","December","3.9","VT",4,"217.8","1"
1995,"M12","December","3.9","VT",4,"221.75","1"
1996,"M12","December","3.8","VT",4,"221.2","1"
1997,"M12","December","3.4","VT",4,"225.28","1"
1998,"M12","December","2.8","VT",4,"232.67","1"
1999,"M12","December","2.4","VT",4,"244.37","1"
2000,"M12","December","2.6","VT",4,"264.49","1"
2001,"M12","December","3.4","VT",4,"284.2","1"
2002,"M12","December","4.0","VT",4,"304.35","1"
2003,"M12","December","3.8","VT",4,"337.51","1"
2004,"M12","December","3.3","VT",4,"382.53","1"
2005,"M12","December","3.2","VT",4,"430.45","1"
2006,"M12","December","3.5","VT",4,"455.14","1"
2007,"M12","December","3.9","VT",4,"456.89","1"
2008,"M12","December","5.3","VT",4,"453.49","1"
2009,"M12","December","6.1","VT",4,"441.07","1"
2010,"M12","December","5.7","VT",4,"441.97","1"
2011,"M12","December","4.8","VT",4,"440.24","1"
2012,"M12","December","4.4","VT",4,"438.23","1"
2013,"M12","December","3.9","VT",4,"437","1"
2014,"M12","December","3.5","VT",4,"439.62","1"
2015,"M12","December","3.1","VT",4,"445.31","1"
2016,"M12","December","2.8","VT",4,"455.31","1"
2017,"M12","December","2.4","VT",4,"470.78","1"
2018,"M12","December","2.1","VT",4,"480.3","1"
2019,"M12","December","2.1","VT",4,"504.87","1"
1976,"M12","December","8.9","WA",4,"57.61","1"
1977,"M12","December","6.5","WA",4,"70.66","1"
1978,"M12","December","7.1","WA",4,"86.67","1"
1979,"M12","December","6.7","WA",4,"98.03","1"
1980,"M12","December","8.8","WA",4,"102.05","1"
1981,"M12","December","11.3","WA",4,"105.97","1"
1982,"M12","December","12.4","WA",4,"105.62","1"
1983,"M12","December","10.2","WA",4,"104.96","1"
1984,"M12","December","9.0","WA",4,"110.19","1"
1985,"M12","December","7.9","WA",4,"112.13","1"
1986,"M12","December","8.0","WA",4,"115.93","1"
1987,"M12","December","6.8","WA",4,"119.43","1"
1988,"M12","December","5.8","WA",4,"127.55","1"
1989,"M12","December","5.6","WA",4,"152.75","1"
1990,"M12","December","5.8","WA",4,"177.24","1"
1991,"M12","December","7.0","WA",4,"187.58","1"
1992,"M12","December","7.8","WA",4,"194.83","1"
1993,"M12","December","6.8","WA",4,"202.84","1"
1994,"M12","December","6.1","WA",4,"209.91","1"
1995,"M12","December","6.4","WA",4,"219.31","1"
1996,"M12","December","5.5","WA",4,"224.71","1"
1997,"M12","December","4.5","WA",4,"236.98","1"
1998,"M12","December","4.8","WA",4,"252.46","1"
1999,"M12","December","4.7","WA",4,"264.36","1"
2000,"M12","December","5.3","WA",4,"278.91","1"
2001,"M12","December","7.3","WA",4,"294.47","1"
2002,"M12","December","7.4","WA",4,"307.96","1"
2003,"M12","December","7.0","WA",4,"325.07","1"
2004,"M12","December","5.9","WA",4,"362.21","1"
2005,"M12","December","5.1","WA",4,"428.4","1"
2006,"M12","December","4.9","WA",4,"482.71","1"
2007,"M12","December","4.8","WA",4,"500.92","1"
2008,"M12","December","6.6","WA",4,"469.92","1"
2009,"M12","December","10.5","WA",4,"425.66","1"
2010,"M12","December","9.6","WA",4,"405.94","1"
2011,"M12","December","8.8","WA",4,"383.8","1"
2012,"M12","December","7.6","WA",4,"385.9","1"
2013,"M12","December","6.7","WA",4,"408.67","1"
2014,"M12","December","5.9","WA",4,"437.6","1"
2015,"M12","December","5.7","WA",4,"477.76","1"
2016,"M12","December","5.0","WA",4,"527.44","1"
2017,"M12","December","4.7","WA",4,"586.26","1"
2018,"M12","December","4.7","WA",4,"632.92","1"
2019,"M12","December","4.0","WA",4,"669.81","1"
1976,"M12","December","4.9","WI",4,"68.39","1"
1977,"M12","December","4.3","WI",4,"80.86","1"
1978,"M12","December","5.0","WI",4,"92.5","1"
1979,"M12","December","4.2","WI",4,"99.53","1"
1980,"M12","December","7.7","WI",4,"101.57","1"
1981,"M12","December","8.4","WI",4,"91.29","1"
1982,"M12","December","11.7","WI",4,"99.52","1"
1983,"M12","December","8.3","WI",4,"105.98","1"
1984,"M12","December","6.5","WI",4,"106.32","1"
1985,"M12","December","6.8","WI",4,"110.77","1"
1986,"M12","December","6.1","WI",4,"114.36","1"
1987,"M12","December","4.9","WI",4,"119.36","1"
1988,"M12","December","3.8","WI",4,"125.02","1"
1989,"M12","December","3.8","WI",4,"131.7","1"
1990,"M12","December","4.5","WI",4,"137.98","1"
1991,"M12","December","4.9","WI",4,"145.46","1"
1992,"M12","December","4.3","WI",4,"153.58","1"
1993,"M12","December","4.3","WI",4,"161.3","1"
1994,"M12","December","3.3","WI",4,"175.63","1"
1995,"M12","December","3.4","WI",4,"186.48","1"
1996,"M12","December","3.1","WI",4,"194.17","1"
1997,"M12","December","3.0","WI",4,"202.74","1"
1998,"M12","December","3.0","WI",4,"209.57","1"
1999,"M12","December","2.7","WI",4,"220.85","1"
2000,"M12","December","3.3","WI",4,"235","1"
2001,"M12","December","4.8","WI",4,"246.84","1"
2002,"M12","December","5.1","WI",4,"258.89","1"
2003,"M12","December","4.9","WI",4,"276.63","1"
2004,"M12","December","4.4","WI",4,"298.38","1"
2005,"M12","December","4.5","WI",4,"318.33","1"
2006,"M12","December","4.5","WI",4,"325.79","1"
2007,"M12","December","4.5","WI",4,"326.59","1"
2008,"M12","December","6.0","WI",4,"317.42","1"
2009,"M12","December","8.9","WI",4,"306.2","1"
2010,"M12","December","7.7","WI",4,"301.75","1"
2011,"M12","December","6.9","WI",4,"293.94","1"
2012,"M12","December","6.6","WI",4,"291.51","1"
2013,"M12","December","6.0","WI",4,"289.8","1"
2014,"M12","December","4.5","WI",4,"298.34","1"
2015,"M12","December","4.1","WI",4,"307.82","1"
2016,"M12","December","3.4","WI",4,"321.34","1"
2017,"M12","December","2.7","WI",4,"337.89","1"
2018,"M12","December","2.8","WI",4,"358.7","1"
2019,"M12","December","3.2","WI",4,"375.62","1"
1976,"M12","December","6.3","WV",4,"66.24","1"
1977,"M12","December","6.6","WV",4,"86.56","1"
1978,"M12","December","6.1","WV",4,"85.45","1"
1979,"M12","December","7.4","WV",4,"95.64","1"
1980,"M12","December","9.8","WV",4,"116.34","1"
1981,"M12","December","10.2","WV",4,"109.85","1"
1982,"M12","December","18.0","WV",4,"86.13","1"
1983,"M12","December","16.0","WV",4,"92.53","1"
1984,"M12","December","14.4","WV",4,"87.28","1"
1985,"M12","December","11.4","WV",4,"88.92","1"
1986,"M12","December","10.6","WV",4,"98.95","1"
1987,"M12","December","10.0","WV",4,"98.02","1"
1988,"M12","December","8.7","WV",4,"98.54","1"
1989,"M12","December","7.8","WV",4,"102.22","1"
1990,"M12","December","9.6","WV",4,"104.83","1"
1991,"M12","December","11.4","WV",4,"110.05","1"
1992,"M12","December","10.8","WV",4,"114.68","1"
1993,"M12","December","9.4","WV",4,"120.1","1"
1994,"M12","December","7.5","WV",4,"125.11","1"
1995,"M12","December","7.5","WV",4,"132.4","1"
1996,"M12","December","7.1","WV",4,"135.38","1"
1997,"M12","December","6.5","WV",4,"141.31","1"
1998,"M12","December","6.0","WV",4,"147.89","1"
1999,"M12","December","5.6","WV",4,"147.59","1"
2000,"M12","December","5.1","WV",4,"152.78","1"
2001,"M12","December","4.8","WV",4,"161.05","1"
2002,"M12","December","5.7","WV",4,"167.48","1"
2003,"M12","December","5.2","WV",4,"173.46","1"
2004,"M12","December","4.7","WV",4,"186.29","1"
2005,"M12","December","4.3","WV",4,"205.96","1"
2006,"M12","December","4.2","WV",4,"213.4","1"
2007,"M12","December","4.3","WV",4,"216.6","1"
2008,"M12","December","4.7","WV",4,"210.95","1"
2009,"M12","December","8.1","WV",4,"206.57","1"
2010,"M12","December","8.6","WV",4,"209.12","1"
2011,"M12","December","7.3","WV",4,"206.03","1"
2012,"M12","December","7.3","WV",4,"206.53","1"
2013,"M12","December","6.4","WV",4,"210.63","1"
2014,"M12","December","6.1","WV",4,"214.68","1"
2015,"M12","December","6.0","WV",4,"219.37","1"
2016,"M12","December","5.1","WV",4,"224.61","1"
2017,"M12","December","5.1","WV",4,"229.14","1"
2018,"M12","December","4.7","WV",4,"230.86","1"
2019,"M12","December","5.0","WV",4,"241.6","1"
1976,"M12","December","4.0","WY",4,"63.11","1"
1977,"M12","December","3.2","WY",4,"71.32","1"
1978,"M12","December","3.1","WY",4,"82.32","1"
1979,"M12","December","3.3","WY",4,"96.55","1"
1980,"M12","December","4.3","WY",4,"95.04","1"
1981,"M12","December","3.9","WY",4,"109.44","1"
1982,"M12","December","8.5","WY",4,"112.68","1"
1983,"M12","December","6.7","WY",4,"99.09","1"
1984,"M12","December","6.4","WY",4,"96.1","1"
1985,"M12","December","7.5","WY",4,"94.35","1"
1986,"M12","December","9.4","WY",4,"90.91","1"
1987,"M12","December","7.1","WY",4,"79.25","1"
1988,"M12","December","6.7","WY",4,"81.49","1"
1989,"M12","December","6.0","WY",4,"83.94","1"
1990,"M12","December","5.4","WY",4,"90.01","1"
1991,"M12","December","5.9","WY",4,"95.9","1"
1992,"M12","December","5.5","WY",4,"102.44","1"
1993,"M12","December","5.4","WY",4,"111.18","1"
1994,"M12","December","4.7","WY",4,"121.98","1"
1995,"M12","December","4.8","WY",4,"130.92","1"
1996,"M12","December","5.1","WY",4,"134.42","1"
1997,"M12","December","4.7","WY",4,"140.26","1"
1998,"M12","December","4.8","WY",4,"143.22","1"
1999,"M12","December","4.3","WY",4,"147.87","1"
2000,"M12","December","3.9","WY",4,"156.35","1"
2001,"M12","December","3.9","WY",4,"164.96","1"
2002,"M12","December","4.5","WY",4,"175.3","1"
2003,"M12","December","4.2","WY",4,"187.13","1"
2004,"M12","December","3.7","WY",4,"207.18","1"
2005,"M12","December","3.5","WY",4,"232.39","1"
2006,"M12","December","2.9","WY",4,"260.65","1"
2007,"M12","December","2.5","WY",4,"279.03","1"
2008,"M12","December","3.7","WY",4,"279.73","1"
2009,"M12","December","7.5","WY",4,"270.06","1"
2010,"M12","December","6.2","WY",4,"267.19","1"
2011,"M12","December","5.7","WY",4,"264.15","1"
2012,"M12","December","5.2","WY",4,"269.57","1"
2013,"M12","December","4.6","WY",4,"274.77","1"
2014,"M12","December","3.8","WY",4,"285.32","1"
2015,"M12","December","4.8","WY",4,"294.43","1"
2016,"M12","December","5.1","WY",4,"300.76","1"
2017,"M12","December","4.0","WY",4,"307.21","1"
2018,"M12","December","3.7","WY",4,"318.11","1"
2019,"M12","December","3.7","WY",4,"337.43","1"
