"year","period","periodName","value","state","quarter","annual","HPI","MHI","RMHI","poverty","population","sp500","log_pop","log_RMHI"
2004,"M12","December",4.7,"ID",4,1,250.11,44358,59112,9.9,1391802,8.99,14.1461098683799,10.9871892284685
2005,"M12","December",3.6,"ID",4,1,296.46,44176,56941,9.9,1428241,3,14.171954175149,10.9497709230241
2006,"M12","December",3.4,"ID",4,1,335.5,46213,57696,9.5,1468669,13.62,14.1998671064177,10.962943126003
2007,"M12","December",3.7,"ID",4,1,341.61,49184,59712,9.9,1505105,3.53,14.2243732211733,10.997288284207
2008,"M12","December",7,"ID",4,1,325.38,47420,55441,12.2,1534320,-38.49,14.2435978441087,10.9230746712191
2009,"M12","December",9.6,"ID",4,1,296.47,46778,54881,13.7,1554439,23.45,14.2566252667975,10.9129224838081
2010,"M12","December",9,"ID",4,1,274.19,47050,54304,13.8,1571450,12.78,14.267509317978,10.902353168034
2010,"M12","December",9,"ID",4,1,274.19,47050,54304,13.8,1570773,12.78,14.2670784128446,10.902353168034
2011,"M12","December",7.9,"ID",4,1,259.25,47459,53102,15.7,1583828,0,14.2753552596021,10.8799698713042
2012,"M12","December",6.8,"ID",4,1,264.06,47922,52508,14.4,1595441,13.41,14.2826607450132,10.8687208179233
2013,"M12","December",5.3,"ID",4,1,278.47,48467,52330,12.4,1611530,29.6,14.2926945962604,10.8653250993663
2014,"M12","December",4.5,"ID",4,1,292.92,53438,56737,12.4,1631479,11.39,14.3049975233421,10.9461818342121
2015,"M12","December",4,"ID",4,1,314.61,51624,54716,12.3,1651523,-0.73,14.3172084504493,10.9099114502093
2016,"M12","December",3.6,"ID",4,1,337.44,56564,59189,11.1,1682930,9.54,14.3360468799134,10.9884909927963
2017,"M12","December",3.1,"ID",4,1,372.24,59497,60947,11.5,1718904,19.42,14.3571974363832,11.0177599130254
2018,"M12","December",3,"ID",4,1,420.09,58728,58728,11.5,1754208,-6.24,14.3775280309724,10.9806718937906
1984,"M12","December",8.6,"IL",4,1,112.8,23752,54828,15,11412132,1.4,16.2501875580205,10.9119562913513
1985,"M12","December",8.4,"IL",4,1,118.32,24870,55503,15.6,11399806,26.33,16.2491068956761,10.9241923523277
1986,"M12","December",7.3,"IL",4,1,128.38,26511,58148,13.3,11387257,14.62,16.248005481135,10.9707467635462
1987,"M12","December",6.7,"IL",4,1,140.61,27084,57429,14.4,11391178,2.03,16.2483497541317,10.9583046812046
1988,"M12","December",5.9,"IL",4,1,152.86,29524,60420,12.7,11390183,12.4,16.2482624020195,11.0090754549407
1989,"M12","December",6.3,"IL",4,1,164.36,31300,61372,12.7,11409782,27.25,16.2499816156084,11.0247089840651
1990,"M12","December",6.2,"IL",4,1,170.46,32542,60809,13.7,11453316,-6.56,16.2537898530234,11.0154930833152
1991,"M12","December",8.4,"IL",4,1,177.96,31884,57488,13.5,11568964,26.31,16.263836553242,10.9593315093533
1992,"M12","December",7.2,"IL",4,1,184.08,31551,55507,15.6,11694184,4.46,16.2746021821587,10.9242644179074
1993,"M12","December",6.2,"IL",4,1,190.5,32857,56383,13.6,11809579,7.06,16.284421539782,10.9399229736108
1994,"M12","December",4.5,"IL",4,1,197.86,35081,58968,12.4,11912585,-1.54,16.2931059622812,10.9847502028691
1995,"M12","December",5,"IL",4,1,207.09,38071,62488,12.4,12008437,34.11,16.3011200440383,11.0427298172901
1996,"M12","December",4.9,"IL",4,1,213.03,39554,63239,12.1,12101997,20.26,16.3088810382715,11.0546764784217
1997,"M12","December",4.7,"IL",4,1,220.23,41283,64606,11.2,12185715,31.01,16.3157749220232,11.0760625647146
1998,"M12","December",4.1,"IL",4,1,226.83,43178,66669,10.1,12271847,26.67,16.322818335106,11.1074953562496
1999,"M12","December",4.1,"IL",4,1,237.32,46330,70044,9.9,12359020,19.53,16.3298967188245,11.1568788949918
2000,"M12","December",4.4,"IL",4,1,253.03,46064,67357,10.7,12434161,-10.14,16.335958162095,11.1177621111073
2001,"M12","December",6,"IL",4,1,268.08,46171,65644,10.1,12488445,-13.04,16.3403143747514,11.0920014817995
2002,"M12","December",6.4,"IL",4,1,284.3,42710,59781,12.8,12525556,-23.37,16.3432815951675,10.9984431637007
2003,"M12","December",6.2,"IL",4,1,303.47,45153,61797,12.6,12556006,26.38,16.3457096748031,11.0316100985782
2004,"M12","December",5.8,"IL",4,1,328.71,46077,61403,12.3,12589773,8.99,16.3483953756753,11.0252139728765
2005,"M12","December",5.1,"IL",4,1,356.82,48398,62383,11.5,12609903,3,16.3499930156038,11.0410480813427
2006,"M12","December",4.2,"IL",4,1,371.21,48671,60765,10.6,12643955,13.62,16.352689793311,11.0147692443049
2007,"M12","December",5.4,"IL",4,1,370.44,52506,63745,10,12695866,3.53,16.3567869866273,11.0626460285722
2008,"M12","December",7.6,"IL",4,1,348.22,53254,62262,12.3,12747038,-38.49,16.3608094888542,11.0391065668333
2009,"M12","December",11,"IL",4,1,322.92,52870,62028,13.2,12796778,23.45,16.3647039784534,11.035341174984
2010,"M12","December",9.3,"IL",4,1,315.08,50728,58549,14.1,12843166,12.78,16.3683223990406,10.9776192894607
2010,"M12","December",9.3,"IL",4,1,315.08,50728,58549,14.1,12840762,12.78,16.3681352002596,10.9776192894607
2011,"M12","December",9.2,"IL",4,1,300.23,50637,56658,14.2,12867291,0,16.3701990679058,10.9447884744911
2012,"M12","December",9.1,"IL",4,1,296.02,51738,56690,12.6,12884119,13.41,16.3715060256526,10.9453531073183
2013,"M12","December",8.2,"IL",4,1,298.12,53937,58236,13.6,12898269,29.6,16.3726036742816,10.9722589991932
2014,"M12","December",5.8,"IL",4,1,310,54916,58306,13.7,12888962,11.39,16.3718818441321,10.9734602829951
2015,"M12","December",6,"IL",4,1,318.8,60413,64032,10.9,12864342,-0.73,16.3699698558684,11.0671382373835
2016,"M12","December",5.3,"IL",4,1,330.28,61386,64235,12.1,12826895,9.54,16.3670546963905,11.0703035124657
2017,"M12","December",4.5,"IL",4,1,339.48,65969,67577,11.5,12786196,19.42,16.3638767094577,11.121022967451
2018,"M12","December",4.4,"IL",4,1,345.53,70145,70145,10.3,12741080,-6.24,16.3603419768858,11.1583198071529
1984,"M12","December",8.5,"IN",4,1,108.61,22770,52561,12.9,5458322,1.4,15.5126519744794,10.8697296788527
1985,"M12","December",7,"IN",4,1,113.23,22675,50605,12,5459211,26.33,15.5128148317847,10.831805664623
1986,"M12","December",6.5,"IN",4,1,119.73,22728,49851,12.7,5454108,14.62,15.5118796441718,10.8167938353693
1987,"M12","December",5.3,"IN",4,1,124.84,22519,47750,11.1,5473012,2.03,15.5153396627054,10.7737343459089
1988,"M12","December",5,"IN",4,1,131.19,26293,53808,10.1,5491735,12.4,15.5187547927029,10.8931774339801
1989,"M12","December",5.2,"IN",4,1,136.88,25898,50780,13.7,5523693,27.25,15.5245572162971,10.8352578552587
1990,"M12","December",5.6,"IN",4,1,140.91,26928,50318,13,5557798,-6.56,15.5307125446155,10.8261181449565
1991,"M12","December",5.8,"IN",4,1,147.55,27089,48842,15.7,5616388,26.31,15.5411993106204,10.7963458774272
1992,"M12","December",6.1,"IN",4,1,153.29,28530,50192,11.8,5674547,4.46,15.5515012943571,10.8236109304305
1993,"M12","December",4.7,"IN",4,1,159.21,29475,50579,12.2,5739019,7.06,15.5627988477663,10.8312917493682
1994,"M12","December",4,"IN",4,1,165.41,27858,46827,13.7,5793526,-1.54,15.5722516451972,10.7542152386265
1995,"M12","December",4.3,"IN",4,1,175.49,33385,54797,9.6,5851459,34.11,15.582201589822,10.911390726912
1996,"M12","December",3.3,"IN",4,1,183.09,35147,56193,7.5,5906013,20.26,15.591481542435,10.936547472964
1997,"M12","December",3.3,"IN",4,1,191.48,38889,60860,8.8,5955267,31.01,15.5997865960385,11.016331423451
1998,"M12","December",3,"IN",4,1,198.95,39731,61347,9.4,5998880,26.67,15.6070833431013,11.0243015491879
1999,"M12","December",3.1,"IN",4,1,203.97,40838,61741,6.7,6044969,19.53,15.6147369138128,11.03070349488
2000,"M12","December",2.9,"IN",4,1,212.02,40865,59754,8.5,6091866,-10.14,15.6224649966949,10.9979914131597
2001,"M12","December",5.2,"IN",4,1,221.77,40379,57409,8.5,6127760,-13.04,15.6283398251448,10.9579563644418
2002,"M12","December",4.8,"IN",4,1,227.53,41047,57453,9.1,6155967,-23.37,15.6329324133028,10.9587225012347
2003,"M12","December",5,"IN",4,1,234.11,42425,58064,9.9,6196638,26.38,15.6395174448757,10.9693011294529
2004,"M12","December",5.5,"IN",4,1,241.5,42329,56408,11.6,6233007,8.99,15.6453694388451,10.9403662713989
2005,"M12","December",5.2,"IN",4,1,249.49,42437,54699,12.6,6278616,3,15.6526601319911,10.9096007067073
2006,"M12","December",4.6,"IN",4,1,253.05,45407,56690,10.6,6332669,13.62,15.6612323482239,10.9453531073183
2007,"M12","December",4.7,"IN",4,1,254.04,47453,57610,11.8,6379599,3.53,15.6686158006811,10.9614514427264
2008,"M12","December",8.1,"IN",4,1,249.68,46520,54389,14.3,6424806,-38.49,15.6756769937372,10.9039172065153
2009,"M12","December",10.7,"IN",4,1,245.07,44305,51980,16.1,6459325,23.45,15.6810353811353,10.8586143081955
2010,"M12","December",9.2,"IN",4,1,244.45,46139,53253,16.3,6490621,12.78,15.685868769773,10.8828094200129
2010,"M12","December",9.2,"IN",4,1,244.45,46139,53253,16.3,6490436,12.78,15.6858402667011,10.8828094200129
2011,"M12","December",8.7,"IN",4,1,241.18,44445,49730,15.6,6516045,0,15.6897781547576,10.8143636517088
2012,"M12","December",8.5,"IN",4,1,241.27,46158,50575,15.2,6537640,13.41,15.69308680204,10.8312126620359
2013,"M12","December",6.3,"IN",4,1,242.82,49455,53397,16.5,6568367,29.6,15.6977758055326,10.8855098435949
2014,"M12","December",5.4,"IN",4,1,250.15,48060,51027,14.6,6593533,11.39,15.7015998781465,10.8401101833822
2015,"M12","December",4.5,"IN",4,1,258.97,51983,55097,13.5,6608296,-0.73,15.7038363873686,10.9168505471978
2016,"M12","December",3.9,"IN",4,1,269.7,56094,58697,11.8,6633344,9.54,15.7076196090655,10.9801438971848
2017,"M12","December",3.1,"IN",4,1,283.55,58767,60200,11.7,6660082,19.42,15.7116423547531,11.0054276312969
2018,"M12","December",3.5,"IN",4,1,302.38,59892,59892,11.6,6691878,-6.24,15.7164051101994,11.0002982192576
1984,"M12","December",4.4,"KS",4,1,107.96,24629,56853,10.7,2424086,1.4,14.7009651040898,10.9482242682349
1985,"M12","December",5,"KS",4,1,110.87,22788,50857,13.8,2427405,26.33,14.7023333434694,10.8367730517861
1986,"M12","December",4.6,"KS",4,1,115.12,23926,52478,11.1,2432619,14.62,14.704479012709,10.8681493131357
1987,"M12","December",4,"KS",4,1,116.6,25583,54247,9.2,2445367,2.03,14.7097057718764,10.9013029703345
1988,"M12","December",4,"KS",4,1,119.04,25566,52320,8.1,2461996,12.4,14.7164829610298,10.8651339861311
1989,"M12","December",3.7,"KS",4,1,120.23,26862,52670,10.8,2472849,27.25,14.7208814851974,10.8718013124774
1990,"M12","December",4.1,"KS",4,1,119.34,29917,55904,10.3,2481349,-6.56,14.724312921866,10.9313912129338
1991,"M12","December",3.7,"KS",4,1,122.42,29295,52820,12.3,2498722,26.31,14.7312899591312,10.8746451858511
1992,"M12","December",4.2,"KS",4,1,125.47,30346,53387,11.1,2532394,4.46,14.7446756583554,10.8853225496177
1993,"M12","December",4.5,"KS",4,1,130.11,29770,51086,13.1,2556547,7.06,14.7541680778433,10.8412657660517
1994,"M12","December",4.4,"KS",4,1,139.17,28322,47607,14.9,2580513,-1.54,14.7634987743416,10.770735088231
1995,"M12","December",3.6,"KS",4,1,146.83,30341,49801,10.8,2601007,34.11,14.7714092356998,10.8157903431324
1996,"M12","December",3.7,"KS",4,1,153.13,32585,52097,11.2,2614554,20.26,14.7766040864418,10.8608626445097
1997,"M12","December",3.2,"KS",4,1,159.8,36471,57076,9.7,2635292,31.01,14.7845045497572,10.9521389920505
1998,"M12","December",3,"KS",4,1,167.86,36711,56684,9.6,2660598,26.67,14.7940614675215,10.9452472629448
1999,"M12","December",3,"KS",4,1,175.81,37348,56465,12.3,2678338,19.53,14.8007070108612,10.9413762561578
2000,"M12","December",3.3,"KS",4,1,185.1,41059,60038,8,2693681,-10.14,14.8064192176569,11.0027329740667
2001,"M12","December",4.2,"KS",4,1,194.89,41415,58882,10.1,2702162,-13.04,14.8095627512935,10.9832907202172
2002,"M12","December",4.5,"KS",4,1,202.94,42619,59654,10.1,2713535,-23.37,14.813762770873,10.9963164831152
2003,"M12","December",5.2,"KS",4,1,210.69,44232,60537,10.8,2723004,26.38,14.8172462406229,11.011010027334
2004,"M12","December",4.9,"KS",4,1,219.76,41066,54725,11.4,2734373,8.99,14.8214127170993,10.9100759223911
2005,"M12","December",4.3,"KS",4,1,228.87,42027,54171,12.5,2745299,3,14.8254005523126,10.899900988884
2006,"M12","December",3.9,"KS",4,1,236.21,45552,56871,12.8,2762931,13.62,14.8318026307381,10.9485408241097
2007,"M12","December",4.1,"KS",4,1,239.59,48497,58878,11.7,2783785,3.53,14.8393220704428,10.9832227854345
2008,"M12","December",5,"KS",4,1,237.3,47877,55975,12.7,2808076,-38.49,14.8480101092886,10.932660441467
2009,"M12","December",6.8,"KS",4,1,236.27,44717,52463,13.7,2832704,23.45,14.8567422904736,10.8678634382135
2010,"M12","December",6.4,"KS",4,1,236.42,46054,53155,14.5,2859169,12.78,14.8660415811349,10.8809674527227
2010,"M12","December",6.4,"KS",4,1,236.42,46054,53155,14.5,2858213,12.78,14.8657071623366,10.8809674527227
2011,"M12","December",5.7,"KS",4,1,233.72,46147,51634,14.3,2869035,0,14.8694862942617,10.8519356492093
2012,"M12","December",5.2,"KS",4,1,233.27,50003,54788,14,2885361,13.41,14.8751605800789,10.9112264708547
2013,"M12","December",4.3,"KS",4,1,234.78,47820,51632,11.4,2893510,29.6,14.8779808560122,10.8518969142917
2014,"M12","December",3.8,"KS",4,1,242.63,53444,56743,12.1,2900896,11.39,14.8805302127539,10.946287579718
2015,"M12","December",3.6,"KS",4,1,251.21,54865,58152,14.2,2909502,-0.73,14.883492490482,10.9708155511645
2016,"M12","December",3.6,"KS",4,1,264.06,56810,59446,11.2,2911263,9.54,14.8840975656065,10.9928236164238
2017,"M12","December",3.1,"KS",4,1,275.09,56900,58287,14.3,2910689,19.42,14.8839003808816,10.9731343629112
2018,"M12","December",3,"KS",4,1,290.09,63938,63938,7.5,2911505,-6.24,14.8841806875857,11.0656691428003
1984,"M12","December",8.2,"KY",4,1,113,17680,40812,19.1,3695453,1.4,15.1226137029555,10.6167314347952
1985,"M12","December",9.4,"KY",4,1,117.19,17361,38745,19.4,3694826,26.33,15.1224440205926,10.5647569941981
1986,"M12","December",9,"KY",4,1,123.7,19874,43591,17.7,3687809,14.62,15.1205430727296,10.6826059860108
1987,"M12","December",7.5,"KY",4,1,129.48,20673,43835,17.3,3683329,2.03,15.1193275207886,10.6881878640227
1988,"M12","December",6.6,"KY",4,1,136.51,19907,40739,17.6,3679999,12.4,15.1184230384059,10.6149411435787
1989,"M12","December",5.6,"KY",4,1,142.71,23283,45652,16.1,3677306,27.25,15.1176909768371,10.7288026966735
1990,"M12","December",6.3,"KY",4,1,145.03,24780,46304,17.3,3694048,-6.56,15.1222334337013,10.7429836294312
1991,"M12","December",6.7,"KY",4,1,151.45,23764,42847,18.8,3722328,26.31,15.1298598369657,10.6653909099064
1992,"M12","December",6.3,"KY",4,1,157.1,23485,41317,19.7,3765469,4.46,15.1413829798512,10.6290293165319
1993,"M12","December",4.9,"KY",4,1,162.93,24376,41829,20.4,3812206,7.06,15.1537185821702,10.6413451578631
1994,"M12","December",4.6,"KY",4,1,173.35,26595,44704,18.5,3849088,-1.54,15.1633467950858,10.7078182620567
1995,"M12","December",4.8,"KY",4,1,182.3,29810,48929,14.7,3887427,34.11,15.1732580571583,10.7981255467148
1996,"M12","December",5.7,"KY",4,1,189.93,32413,51822,17,3919535,20.26,15.1814835822815,10.8555700485083
1997,"M12","December",4.2,"KY",4,1,198.71,33452,52351,15.9,3952747,31.01,15.1899213382068,10.865726318313
1998,"M12","December",4.2,"KY",4,1,207.97,36252,55975,13.5,3985390,26.67,15.198145732419,10.932660441467
1999,"M12","December",3.8,"KY",4,1,215.79,33738,51007,12.1,4018053,19.53,15.2063080149121,10.8397181571898
2000,"M12","December",4,"KY",4,1,225.66,36265,53028,12.6,4049021,-10.14,15.2139856814666,10.8785753549187
2001,"M12","December",5.6,"KY",4,1,235.9,38437,54648,12.6,4068132,-13.04,15.2186944840017,10.9086678964117
2002,"M12","December",5.6,"KY",4,1,244.19,36762,51456,14.2,4089875,-23.37,15.2240249652048,10.8484823525386
2003,"M12","December",5.3,"KY",4,1,253.84,36936,50551,14.4,4117170,26.38,15.2306765921026,10.8307380066466
2004,"M12","December",4.8,"KY",4,1,267.23,35610,47454,17.8,4146101,8.99,15.2376789325109,10.7675160997475
2005,"M12","December",5.7,"KY",4,1,278.68,36699,47303,14.8,4182742,3,15.2464775703008,10.7643289974159
2006,"M12","December",5,"KY",4,1,286.54,39485,49296,16.8,4219239,13.62,15.2551653379969,10.8055982208364
2007,"M12","December",5.3,"KY",4,1,292.41,39452,47897,15.5,4256672,3.53,15.2639981922764,10.7768081509575
2008,"M12","December",7.9,"KY",4,1,290.92,41148,48108,17.1,4289878,-38.49,15.2717688522714,10.7812037624305
2009,"M12","December",10.1,"KY",4,1,287.1,42664,50054,17,4317074,23.45,15.2780884159242,10.8208577016298
2010,"M12","December",9.5,"KY",4,1,287.46,41104,47442,17.7,4346266,12.78,15.2848276436319,10.767263191299
2010,"M12","December",9.5,"KY",4,1,287.46,41104,47442,17.7,4348200,12.78,15.2852725243254,10.767263191299
2011,"M12","December",8.4,"KY",4,1,283.83,39856,44595,16,4369488,0,15.2901563977363,10.7053770241003
2012,"M12","December",7.9,"KY",4,1,285.88,41086,45018,17.9,4386381,13.41,15.2940150714923,10.7148176887738
2013,"M12","December",7.2,"KY",4,1,284.84,44879,48456,22,4404817,29.6,15.2982092727891,10.7884114486608
2014,"M12","December",5,"KY",4,1,293.15,42786,45427,20,4414483,11.39,15.3004012843706,10.7238619209137
2015,"M12","December",5,"KY",4,1,303.77,42387,44926,19.5,4425999,-0.73,15.3030065736555,10.7127719707251
2016,"M12","December",4.8,"KY",4,1,316.74,45369,47474,15.2,4438229,9.54,15.3057659809632,10.7679374717409
2017,"M12","December",3.9,"KY",4,1,332.29,49672,50883,13.5,4453874,19.42,15.309284837221,10.8372841585399
2018,"M12","December",3.9,"KY",4,1,347.47,54555,54555,15.7,4468402,-6.24,15.3125414082662,10.9069646460892
1984,"M12","December",10.5,"LA",4,1,114.67,18949,43741,20.6,4400477,1.4,15.2972235021036,10.686041156338
1985,"M12","December",11.8,"LA",4,1,110.81,21179,47266,18.1,4408118,26.33,15.2989583989666,10.7635464999402
1986,"M12","December",12.6,"LA",4,1,110.75,20890,45819,22,4406919,14.62,15.298686363805,10.7324541312386
1987,"M12","December",11.2,"LA",4,1,104.76,21349,45269,25.1,4344148,2.03,15.2843402099971,10.7203777505019
1988,"M12","December",9.7,"LA",4,1,99.91,20497,41947,22.8,4288863,12.4,15.2715322208112,10.6441621956313
1989,"M12","December",5.7,"LA",4,1,102.28,22861,44825,23.3,4252894,27.25,15.2631102503418,10.7105212984733
1990,"M12","December",6.6,"LA",4,1,103.56,22405,41866,23.6,4221532,-6.56,15.255708653307,10.6422293206545
1991,"M12","December",7,"LA",4,1,108.03,25299,45615,19,4253279,26.31,15.2632007728365,10.7279918887796
1992,"M12","December",7.3,"LA",4,1,112.96,25439,44754,24.5,4293003,4.46,15.2724970460185,10.7089361051832
1993,"M12","December",7.3,"LA",4,1,119.46,26312,45152,26.4,4316428,7.06,15.2779387663379,10.7177898546525
1994,"M12","December",6.6,"LA",4,1,125.4,25676,43159,25.7,4347481,-1.54,15.2851071548733,10.6726462495022
1995,"M12","December",6.1,"LA",4,1,132.75,27949,45875,19.7,4378779,34.11,15.2922804763666,10.7336755853569
1996,"M12","December",5.7,"LA",4,1,139.23,30262,48383,20.5,4398877,20.26,15.2968598390397,10.7869037913362
1997,"M12","December",5,"LA",4,1,145.91,33260,52051,16.3,4421071,31.01,15.3018925323944,10.8599792861544
1998,"M12","December",4.8,"LA",4,1,153.19,31735,49000,19.1,4440344,26.67,15.3062424088847,10.7995755770928
1999,"M12","December",4.4,"LA",4,1,157.71,32654,49368,19.2,4460811,19.53,15.3108411460306,10.8070577200009
2000,"M12","December",5.2,"LA",4,1,164.02,30718,44917,17.2,4471885,-10.14,15.3133205779229,10.7125716212259
2001,"M12","December",5.9,"LA",4,1,173.16,33322,47376,16.2,4477875,-13.04,15.3146591615038,10.7658710503414
2002,"M12","December",6,"LA",4,1,181.23,34008,47601,17.5,4497267,-23.37,15.3189804369056,10.7706090484022
2003,"M12","December",5.4,"LA",4,1,189.87,33507,45858,17,4521042,26.38,15.3242530562137,10.7333049444709
2004,"M12","December",5.5,"LA",4,1,200.91,36429,48546,16.8,4552238,8.99,15.3311295381315,10.7902670810359
2005,"M12","December",6.7,"LA",4,1,218.32,37236,47995,18.3,4576628,3,15.3364730403878,10.7788521177976
2006,"M12","December",3.9,"LA",4,1,239.5,36488,45555,17,4302665,13.62,15.2747451561291,10.726675666148
2007,"M12","December",4.1,"LA",4,1,246.53,41313,50156,16.1,4375581,3.53,15.2915498689567,10.8228934273104
2008,"M12","December",5.5,"LA",4,1,244.39,39563,46255,18.2,4435586,-38.49,15.3051702957752,10.7419248452054
2009,"M12","December",7,"LA",4,1,242.82,45433,53303,14.3,4491648,23.45,15.3177302302384,10.8837478937482
2010,"M12","December",7.9,"LA",4,1,241.8,39300,45359,21.5,4544228,12.78,15.3293684141807,10.7223638923032
2010,"M12","December",7.9,"LA",4,1,241.8,39300,45359,21.5,4544532,12.78,15.3294353099949,10.7223638923032
2011,"M12","December",7,"LA",4,1,240.49,40658,45493,21.1,4575184,0,15.3361574744622,10.7253137469497
2012,"M12","December",6.4,"LA",4,1,243.45,39085,42826,21.1,4600814,13.41,15.3417438023261,10.6649006737662
2013,"M12","December",5.1,"LA",4,1,245.9,46425,50125,21.2,4624577,29.6,15.3468954652865,10.8222751646089
2014,"M12","December",6.3,"LA",4,1,253.63,42406,45024,23.1,4644204,11.39,15.3511305484837,10.7149509599141
2015,"M12","December",5.5,"LA",4,1,262.74,45922,48673,18.6,4664851,-0.73,15.3555664517749,10.7928797405416
2016,"M12","December",5.3,"LA",4,1,273.46,42196,44154,20.2,4678215,9.54,15.358427184882,10.6954388021547
2017,"M12","December",4.1,"LA",4,1,280.61,43565,44627,20.5,4670818,19.42,15.3568447749058,10.7060943360048
2018,"M12","December",4.3,"LA",4,1,284.64,49973,49973,19,4659978,-6.24,15.3545212850606,10.8192381385578
1984,"M12","December",3.8,"MA",4,1,181.49,26959,62231,8.9,5840773,1.4,15.5803737090589,11.038608546854
1985,"M12","December",3.5,"MA",4,1,233.07,28207,62951,9.2,5880733,26.33,15.5871919719694,11.0501119249698
1986,"M12","December",3.2,"MA",4,1,279.68,30339,66544,9.2,5902678,14.62,15.5909167042004,11.1056186619827
1987,"M12","December",2.6,"MA",4,1,307.88,32241,68364,8.2,5935204,2.03,15.5964119578025,11.1326016492684
1988,"M12","December",3.1,"MA",4,1,317.65,33213,67970,8.5,5979982,12.4,15.6039281158888,11.1268217103407
1989,"M12","December",4.5,"MA",4,1,318.28,36086,70756,8.8,6015478,27.25,15.6098463722302,11.1669926175634
1990,"M12","December",7.3,"MA",4,1,292.89,36247,67732,10.7,6022639,-6.56,15.6110360933211,11.1233140207852
1991,"M12","December",8.3,"MA",4,1,286.29,35714,64393,11,6018470,26.31,15.6103436321588,11.0727602105325
1992,"M12","December",7.6,"MA",4,1,284.11,36359,63966,10.3,6028709,4.46,15.6120434495958,11.0661069711785
1993,"M12","December",6,"MA",4,1,286.68,37064,63602,10.7,6060569,7.06,15.6173142480271,11.0604001953747
1994,"M12","December",5.3,"MA",4,1,281.47,40500,68077,9.7,6095241,-1.54,15.6230188607229,11.1283946964714
1995,"M12","December",4.6,"MA",4,1,294.74,38574,63314,11,6141445,34.11,15.6305706144543,11.0558617527143
1996,"M12","December",3.8,"MA",4,1,303.91,39494,63143,10.1,6179756,20.26,15.6367893464538,11.0531572744454
1997,"M12","December",3.3,"MA",4,1,320.59,42023,65764,12.2,6226058,31.01,15.6442539457129,11.0938278551308
1998,"M12","December",2.9,"MA",4,1,344.96,42345,65383,8.7,6271838,26.67,15.6515800115972,11.0880175648174
1999,"M12","December",2.7,"MA",4,1,387.39,44005,66529,11.8,6317345,19.53,15.6588095829217,11.1053932218098
2000,"M12","December",2.4,"MA",4,1,442.43,46753,68364,9.8,6361104,-10.14,15.6657125051578,11.1326016492684
2001,"M12","December",4.2,"MA",4,1,493.63,52253,74291,8.9,6397634,-13.04,15.6714387924786,11.2157450928171
2002,"M12","December",5.2,"MA",4,1,554.34,49855,69782,10,6417206,-23.37,15.6744933784458,11.1531313758376
2003,"M12","December",5.2,"MA",4,1,610.29,50955,69738,10.3,6422565,26.38,15.6753281285845,11.1525006418718
2004,"M12","December",4.5,"MA",4,1,676.74,52019,69321,9.3,6412281,8.99,15.6737256158312,11.1465031695766
2005,"M12","December",4.6,"MA",4,1,723.61,56017,72203,10.1,6403290,3,15.672322478745,11.1872368752642
2006,"M12","December",4.6,"MA",4,1,711.88,55330,69078,12,6410084,13.62,15.6733829333352,11.1429915799017
2007,"M12","December",4.4,"MA",4,1,682.69,58463,70977,11.2,6431559,3.53,15.6767275240575,11.1701111598804
2008,"M12","December",6.6,"MA",4,1,642.25,60320,70523,11.3,6468967,-38.49,15.682526993761,11.16369417673
2009,"M12","December",8.5,"MA",4,1,616.84,59373,69658,10.8,6517613,23.45,15.6900187625758,11.1513528326264
2010,"M12","December",7.6,"MA",4,1,614.63,60934,70329,10.9,6557254,12.78,15.6960824757229,11.1609395105176
2010,"M12","December",7.6,"MA",4,1,614.63,60934,70329,10.9,6566431,12.78,15.6974810160712,11.1609395105176
2011,"M12","December",6.6,"MA",4,1,602.65,63313,70842,10.6,6613149,0,15.7045704977806,11.1682073241352
2012,"M12","December",6.6,"MA",4,1,603.76,63656,69748,11.3,6663158,13.41,15.7121041043057,11.1526440254374
2013,"M12","December",5.9,"MA",4,1,622.35,62529,67513,12.1,6713944,29.6,15.7196971157069,11.1200754509096
2014,"M12","December",4.9,"MA",4,1,652.23,63151,67049,13.6,6763652,11.39,15.7270735388302,11.1131789743555
2015,"M12","December",4.1,"MA",4,1,681.48,67861,71926,11.5,6795891,-0.73,15.731828722799,11.1833930916947
2016,"M12","December",3.4,"MA",4,1,717.28,72266,75620,9.6,6826022,9.54,15.7362526314146,11.2334760774449
2017,"M12","December",3.3,"MA",4,1,760.42,76243,78102,11.2,6863246,19.42,15.7416910656313,11.2657709436945
2018,"M12","December",2.8,"MA",4,1,796.86,86345,86345,8.7,6902149,-6.24,15.7473433703526,11.3661061780188
1984,"M12","December",4.8,"MD",4,1,124.71,29708,68577,8.7,4365243,1.4,15.2891844158094,11.1357124805282
1985,"M12","December",4,"MD",4,1,131.16,30136,67256,8.7,4413071,26.33,15.3000813769507,11.1162615128151
1986,"M12","December",4.3,"MD",4,1,144.85,30604,67125,9.2,4486957,14.62,15.3166853016717,11.1143118318112
1987,"M12","December",4,"MD",4,1,162.44,34970,74151,9.2,4565557,2.03,15.334051079902,11.2138588336518
1988,"M12","December",3.5,"MD",4,1,183.66,36552,74803,9.8,4657904,12.4,15.3540761195103,11.2226132701102
1989,"M12","December",3.4,"MD",4,1,199.73,36016,70619,9,4727301,27.25,15.3688649844987,11.1650545090876
