"year","period","periodName","value","state","quarter","annual","HPI","MHI","RMHI","poverty"
2011,"M12","December","7.4","PA",4,"1","365.3","49,910","55,845",12.6
2012,"M12","December","7.6","PA",4,"1","363.59","51,904","56,871",13.9
2013,"M12","December","6.1","PA",4,"1","366.25","55,156","59,552",11.2
2014,"M12","December","4.9","PA",4,"1","374.43","55,173","58,579",12.5
2015,"M12","December","4.7","PA",4,"1","383.51","60,389","64,006",12.3
2016,"M12","December","4.8","PA",4,"1","396.97","60,979","63,809",11.1
2017,"M12","December","4.3","PA",4,"1","413.31","61,285","62,779",10.9
2017,"M12","December","4.3","PA",4,"1","413.31","61,285","62,779",11.2
2018,"M12","December","3.8","PA",4,"1","430.06","64,524","64,524",11.8
1984,"M12","December","4.5","RI",4,"1","128.94","21,612","49,888",12.8
1985,"M12","December","3.8","RI",4,"1","151.04","24,625","54,957",9
1986,"M12","December","3.5","RI",4,"1","190.2","26,540","58,212",9.1
1987,"M12","December","2.9","RI",4,"1","241.15","28,292","59,991",8.1
1988,"M12","December","2.8","RI",4,"1","257.36","29,842","61,071",9.8
1989,"M12","December","4.9","RI",4,"1","267.73","30,124","59,066",6.7
1990,"M12","December","7.0","RI",4,"1","255.25","31,968","59,736",7.5
1991,"M12","December","8.5","RI",4,"1","250.62","30,836","55,598",10.4
1992,"M12","December","7.9","RI",4,"1","247.03","30,432","53,538",12.4
1993,"M12","December","6.9","RI",4,"1","247.48","33,509","57,502",11.2
1994,"M12","December","5.9","RI",4,"1","232.75","31,928","53,668",10.3
1995,"M12","December","5.3","RI",4,"1","243.44","35,359","58,037",10.6
1996,"M12","December","4.8","RI",4,"1","239.22","36,986","59,133",11
1997,"M12","December","4.5","RI",4,"1","247.07","34,797","54,456",12.7
1998,"M12","December","3.9","RI",4,"1","255.19","40,686","62,821",11.6
1999,"M12","December","3.6","RI",4,"1","269.66","42,719","64,585",10
2000,"M12","December","3.6","RI",4,"1","301.32","42,197","61,702",10.2
2001,"M12","December","4.3","RI",4,"1","337.06","45,723","65,007",9.6
2002,"M12","December","4.8","RI",4,"1","393.27","42,417","59,371",11
2003,"M12","December","4.8","RI",4,"1","459.82","44,711","61,192",11.5
2004,"M12","December","4.5","RI",4,"1","540.21","47,935","63,879",11.5
2005,"M12","December","4.7","RI",4,"1","595.52","49,484","63,782",12.1
2006,"M12","December","4.3","RI",4,"1","599.2","53,736","67,088",10.5
2007,"M12","December","5.6","RI",4,"1","574.09","54,210","65,814",9.5
2008,"M12","December","9.2","RI",4,"1","514.36","53,241","62,246",12.7
2009,"M12","December","10.7","RI",4,"1","482.11","51,634","60,578",13
2010,"M12","December","10.8","RI",4,"1","473.26","51,623","59,582",14
2011,"M12","December","10.9","RI",4,"1","450.29","49,033","54,864",13.4
2012,"M12","December","9.2","RI",4,"1","439.35","56,065","61,431",13.6
2013,"M12","December","8.7","RI",4,"1","435.91","56,323","60,812",9.3
2014,"M12","December","6.3","RI",4,"1","456.63","58,633","62,252",11.3
2015,"M12","December","5.2","RI",4,"1","475.06","55,701","59,038",11.8
2016,"M12","December","4.3","RI",4,"1","503.86","61,528","64,383",11.4
2017,"M12","December","4.1","RI",4,"1","534.64","65,401","66,995",11.3
2017,"M12","December","4.1","RI",4,"1","534.64","65,401","66,995",12.2
2018,"M12","December","3.5","RI",4,"1","564.77","62,266","62,266",8.9
1984,"M12","December","6.5","SC",4,"1","127.54","20,309","46,881",17.2
1985,"M12","December","6.8","SC",4,"1","132.29","20,036","44,715",15.2
1986,"M12","December","5.9","SC",4,"1","140.54","21,968","48,184",17.3
1987,"M12","December","4.9","SC",4,"1","145.43","25,049","53,114",15.6
1988,"M12","December","4.1","SC",4,"1","151.69","25,533","52,253",15.5
1989,"M12","December","4.6","SC",4,"1","158.12","23,798","46,662",17
1990,"M12","December","5.1","SC",4,"1","161.58","28,735","53,695",16.2
1991,"M12","December","6.5","SC",4,"1","168.55","27,463","49,516",16.4
1992,"M12","December","6.6","SC",4,"1","172.91","27,578","48,517",19
1993,"M12","December","6.5","SC",4,"1","177.6","26,053","44,707",18.7
1994,"M12","December","4.9","SC",4,"1","181.23","29,846","50,168",13.8
1995,"M12","December","5.2","SC",4,"1","189.58","29,071","47,716",19.9
1996,"M12","December","5.6","SC",4,"1","197.53","34,665","55,422",13
1997,"M12","December","3.4","SC",4,"1","207.29","34,262","53,619",13.1
1998,"M12","December","3.7","SC",4,"1","218.63","33,267","51,366",13.7
1999,"M12","December","3.8","SC",4,"1","228.92","36,462","55,125",11.7
2000,"M12","December","3.7","SC",4,"1","240.16","37,570","54,936",11.1
2001,"M12","December","5.8","SC",4,"1","253.98","37,736","53,652",15.1
2002,"M12","December","5.9","SC",4,"1","263.22","37,812","52,925",14.3
2003,"M12","December","6.7","SC",4,"1","271.48","38,479","52,663",12.7
2004,"M12","December","6.8","SC",4,"1","287.38","38,691","51,560",14.9
2005,"M12","December","6.7","SC",4,"1","311.69","40,230","51,854",15
2006,"M12","December","6.0","SC",4,"1","334.36","39,617","49,461",11.2
2007,"M12","December","5.8","SC",4,"1","342.96","44,213","53,677",14.1
2008,"M12","December","9.1","SC",4,"1","338.08","42,155","49,285",14
2009,"M12","December","11.5","SC",4,"1","324.13","41,101","48,221",13.7
2010,"M12","December","10.8","SC",4,"1","316.57","41,698","48,127",16.9
2011,"M12","December","9.9","SC",4,"1","306.47","40,084","44,850",19
2012,"M12","December","8.6","SC",4,"1","302.53","44,401","48,650",16.7
2013,"M12","December","6.3","SC",4,"1","302.92","43,563","47,035",19.3
2014,"M12","December","6.4","SC",4,"1","315.36","44,929","47,702",16.5
2015,"M12","December","5.5","SC",4,"1","332.07","46,360","49,137",14.3
2016,"M12","December","4.6","SC",4,"1","350.14","54,336","56,858",14.1
2017,"M12","December","4.1","SC",4,"1","371.53","54,537","55,866",15.2
2017,"M12","December","4.1","SC",4,"1","371.53","54,537","55,866",15.6
2018,"M12","December","3.5","SC",4,"1","393.8","57,444","57,444",12.8
1984,"M12","December","4.4","SD",4,"1","107.03","19,409","44,803",14.5
1985,"M12","December","4.9","SD",4,"1","112.93","18,142","40,488",17.3
1986,"M12","December","4.3","SD",4,"1","117","19,898","43,643",17
1987,"M12","December","4.1","SD",4,"1","119.15","21,151","44,849",15.2
1988,"M12","December","4.0","SD",4,"1","117.44","22,294","45,624",14.2
1989,"M12","December","3.9","SD",4,"1","119.13","24,108","47,270",13.2
1990,"M12","December","3.5","SD",4,"1","125.09","24,571","45,914",13.3
1991,"M12","December","3.3","SD",4,"1","132.97","24,639","44,425",14
1992,"M12","December","3.2","SD",4,"1","142.16","26,259","46,197",15.1
1993,"M12","December","3.3","SD",4,"1","152.27","27,737","47,597",14.2
1994,"M12","December","3.1","SD",4,"1","162.85","29,733","49,978",14.5
1995,"M12","December","3.2","SD",4,"1","170.24","29,578","48,548",14.5
1996,"M12","December","3.1","SD",4,"1","173.95","29,526","47,206",11.8
1997,"M12","December","2.9","SD",4,"1","184.13","29,694","46,470",16.5
1998,"M12","December","2.7","SD",4,"1","188.85","32,786","50,623",10.8
1999,"M12","December","2.5","SD",4,"1","196.29","35,828","54,167",7.7
2000,"M12","December","2.6","SD",4,"1","204.92","36,475","53,335",10.7
2001,"M12","December","3.5","SD",4,"1","215.23","39,671","56,403",8.4
2002,"M12","December","3.2","SD",4,"1","225.09","37,873","53,011",11.5
2003,"M12","December","3.7","SD",4,"1","237.32","39,522","54,090",12.7
2004,"M12","December","3.9","SD",4,"1","250.48","41,107","54,780",13.5
2005,"M12","December","3.5","SD",4,"1","268.23","43,151","55,620",11.8
2006,"M12","December","3.1","SD",4,"1","278.17","45,427","56,715",10.7
2007,"M12","December","2.7","SD",4,"1","287.93","46,418","56,354",9.4
2008,"M12","December","3.9","SD",4,"1","293.35","51,600","60,328",13.1
2009,"M12","December","5.3","SD",4,"1","290.25","45,826","53,764",14.1
2010,"M12","December","5.1","SD",4,"1","292.62","45,352","52,344",13.6
2011,"M12","December","4.5","SD",4,"1","292.89","47,223","52,838",14.5
2012,"M12","December","4.1","SD",4,"1","299.87","49,415","54,144",12.8
2013,"M12","December","3.6","SD",4,"1","309.37","53,413","57,670",13.3
2014,"M12","December","3.5","SD",4,"1","320.15","53,053","56,328",12.8
2015,"M12","December","3.0","SD",4,"1","334.32","55,065","58,364",13.9
2016,"M12","December","3.3","SD",4,"1","349.78","57,450","60,116",14.5
2017,"M12","December","3.4","SD",4,"1","368.93","56,914","58,301",10.7
2017,"M12","December","3.4","SD",4,"1","368.93","56,914","58,301",10.4
2018,"M12","December","3.2","SD",4,"1","387.16","59,463","59,463",10.6
1984,"M12","December","7.5","TN",4,"1","119.16","16,782","38,739",17.4
1985,"M12","December","7.7","TN",4,"1","125.85","17,778","39,676",18.1
1986,"M12","December","7.1","TN",4,"1","134.61","18,256","40,042",18.3
1987,"M12","December","5.5","TN",4,"1","142.94","21,179","44,908",16.9
1988,"M12","December","5.5","TN",4,"1","144.31","20,856","42,682",18
1989,"M12","December","4.9","TN",4,"1","147.05","22,611","44,335",18.4
1990,"M12","December","5.9","TN",4,"1","146.49","22,592","42,216",16.9
1991,"M12","December","6.4","TN",4,"1","151.28","24,453","44,089",15.5
1992,"M12","December","6.2","TN",4,"1","155.3","24,318","42,782",17
1993,"M12","December","4.5","TN",4,"1","161.82","25,102","43,075",19.6
1994,"M12","December","4.1","TN",4,"1","169.38","28,639","48,140",14.6
1995,"M12","December","4.7","TN",4,"1","180.33","29,015","47,624",15.5
1996,"M12","December","5.2","TN",4,"1","188.73","30,790","49,227",15.9
1997,"M12","December","4.3","TN",4,"1","197.97","30,636","47,944",14.3
1998,"M12","December","3.9","TN",4,"1","207.9","34,091","52,638",13.4
1999,"M12","December","3.5","TN",4,"1","212.5","36,522","55,216",11.9
2000,"M12","December","3.6","TN",4,"1","219.76","34,096","49,856",13.5
2001,"M12","December","5.6","TN",4,"1","230.46","35,783","50,875",14.1
2002,"M12","December","5.0","TN",4,"1","237.39","37,030","51,831",14.8
2003,"M12","December","5.2","TN",4,"1","245.24","37,523","51,355",14
2004,"M12","December","5.6","TN",4,"1","256.66","38,072","50,735",15.9
2005,"M12","December","5.1","TN",4,"1","275.58","39,406","50,792",14.9
2006,"M12","December","4.4","TN",4,"1","294.5","40,693","50,804",14.9
2007,"M12","December","5.4","TN",4,"1","303.26","41,195","50,013",14.8
2008,"M12","December","8.1","TN",4,"1","300.03","39,702","46,417",15
2009,"M12","December","10.3","TN",4,"1","289.71","40,517","47,535",16.5
2010,"M12","December","9.2","TN",4,"1","287.53","38,591","44,541",16.7
2011,"M12","December","7.8","TN",4,"1","281.04","42,279","47,306",16.3
2012,"M12","December","7.7","TN",4,"1","281.07","42,995","47,110",18.6
2013,"M12","December","6.8","TN",4,"1","286.49","43,361","46,817",15.5
2014,"M12","December","5.9","TN",4,"1","300.54","43,716","46,415",17.3
2015,"M12","December","4.7","TN",4,"1","314.83","47,330","50,165",14.7
2016,"M12","December","4.4","TN",4,"1","336.2","51,344","53,727",14.9
2017,"M12","December","3.3","TN",4,"1","361.05","55,306","56,654",11.3
2017,"M12","December","3.3","TN",4,"1","361.05","55,306","56,654",11.5
2018,"M12","December","3.2","TN",4,"1","386.75","56,060","56,060",12
1984,"M12","December","5.8","TX",4,"1","129.26","23,024","53,148",15.7
1985,"M12","December","6.9","TX",4,"1","127.78","23,743","52,988",15.9
1986,"M12","December","8.5","TX",4,"1","127.63","24,162","52,996",17.3
1987,"M12","December","7.4","TX",4,"1","115.69","24,721","52,419",17.6
1988,"M12","December","6.5","TX",4,"1","113.77","24,963","51,086",18
1989,"M12","December","6.0","TX",4,"1","116.86","25,886","50,756",17.1
1990,"M12","December","6.3","TX",4,"1","117.16","28,228","52,747",15.9
1991,"M12","December","7.0","TX",4,"1","121.32","27,733","50,003",17.5
1992,"M12","December","7.2","TX",4,"1","125.51","27,953","49,177",18.3
1993,"M12","December","6.4","TX",4,"1","129.71","28,727","49,296",17.4
1994,"M12","December","5.4","TX",4,"1","130.14","30,755","51,696",19.1
1995,"M12","December","5.7","TX",4,"1","135.01","32,039","52,588",17.4
1996,"M12","December","5.2","TX",4,"1","136.92","33,072","52,875",16.6
1997,"M12","December","4.5","TX",4,"1","141.67","35,075","54,891",16.7
1998,"M12","December","4.3","TX",4,"1","148.81","35,783","55,251",15.1
1999,"M12","December","4.2","TX",4,"1","157.53","38,688","58,491",15.2
2000,"M12","December","3.5","TX",4,"1","166.87","38,609","56,456",15.5
2001,"M12","December","5.6","TX",4,"1","177.13","40,860","58,093",14.9
2002,"M12","December","6.2","TX",4,"1","183.83","40,149","56,196",15.6
2003,"M12","December","5.8","TX",4,"1","187.61","39,271","53,747",17
2004,"M12","December","5.5","TX",4,"1","194.14","41,397","55,166",16.5
2005,"M12","December","5.0","TX",4,"1","203.82","41,422","53,391",16.2
2006,"M12","December","4.1","TX",4,"1","215.43","43,307","54,068",16.4
2007,"M12","December","4.2","TX",4,"1","224.3","46,053","55,911",16.5
2008,"M12","December","5.5","TX",4,"1","225.85","46,490","54,353",15.9
2009,"M12","December","8.0","TX",4,"1","224.11","47,475","55,699",17.3
2010,"M12","December","7.8","TX",4,"1","223.2","47,266","54,554",18.4
2011,"M12","December","6.9","TX",4,"1","220.88","49,047","54,879",17.4
2012,"M12","December","6.2","TX",4,"1","225.92","51,926","56,896",17
2013,"M12","December","5.4","TX",4,"1","238.32","51,406","55,503",16.9
2014,"M12","December","4.2","TX",4,"1","256.07","53,875","57,201",16.4
2015,"M12","December","4.2","TX",4,"1","274.97","56,473","59,856",14.7
2016,"M12","December","4.5","TX",4,"1","295.5","58,146","60,844",13.8
2017,"M12","December","3.8","TX",4,"1","317.01","60,092","61,557",13.2
2017,"M12","December","3.8","TX",4,"1","317.01","60,092","61,557",13.4
2018,"M12","December","3.6","TX",4,"1","334.92","59,785","59,785",13.7
1984,"M12","December","5.9","UT",4,"1","112.08","23,057","53,224",11.1
1985,"M12","December","5.4","UT",4,"1","115.32","25,238","56,325",10.9
1986,"M12","December","6.1","UT",4,"1","117.98","26,281","57,644",12.6
1987,"M12","December","5.1","UT",4,"1","112.83","26,529","56,252",10.2
1988,"M12","December","4.1","UT",4,"1","112.3","26,313","53,849",9.8
1989,"M12","December","4.0","UT",4,"1","115.49","30,717","60,229",8.2
1990,"M12","December","3.9","UT",4,"1","118.99","30,142","56,324",8.2
1991,"M12","December","4.4","UT",4,"1","127.81","28,016","50,513",12.9
1992,"M12","December","4.2","UT",4,"1","137.47","34,251","60,257",9.4
1993,"M12","December","3.1","UT",4,"1","155.65","35,786","61,409",10.7
1994,"M12","December","3.4","UT",4,"1","179.76","35,716","60,035",8
1995,"M12","December","2.8","UT",4,"1","200.14","36,480","59,877",8.4
1996,"M12","December","2.8","UT",4,"1","214.45","37,038","59,216",7.7
1997,"M12","December","2.8","UT",4,"1","227.44","42,775","66,941",8.9
1998,"M12","December","3.2","UT",4,"1","236.81","44,299","68,400",9
1999,"M12","December","2.6","UT",4,"1","235.38","46,050","69,621",5.7
2000,"M12","December","3.2","UT",4,"1","242.42","47,550","69,529",7.6
2001,"M12","December","4.8","UT",4,"1","251.15","47,342","67,309",10.5
2002,"M12","December","5.4","UT",4,"1","254.68","47,861","66,991",9.9
2003,"M12","December","4.9","UT",4,"1","257.15","49,275","67,439",9.1
2004,"M12","December","4.1","UT",4,"1","270.5","50,871","67,791",10.1
2005,"M12","December","3.3","UT",4,"1","304.59","54,813","70,651",9.2
2006,"M12","December","2.1","UT",4,"1","355.84","54,628","68,202",9.3
2007,"M12","December","2.6","UT",4,"1","383.05","53,529","64,987",9.6
2008,"M12","December","5.1","UT",4,"1","363.54","62,537","73,115",7.6
2009,"M12","December","7.6","UT",4,"1","328.17","58,491","68,623",9.7
2010,"M12","December","7.3","UT",4,"1","319.39","56,701","65,443",10
2011,"M12","December","5.6","UT",4,"1","305.24","55,493","62,092",11
2012,"M12","December","4.8","UT",4,"1","314.41","58,341","63,924",11
2013,"M12","December","3.8","UT",4,"1","338.67","61,047","65,913",12.2
2014,"M12","December","3.3","UT",4,"1","354.93","63,383","67,296",10.2
2015,"M12","December","3.3","UT",4,"1","376.88","66,258","70,227",9.3
2016,"M12","December","3.1","UT",4,"1","404.98","67,481","70,613",8.6
2017,"M12","December","2.9","UT",4,"1","443.31","69,789","71,490",8.7
2017,"M12","December","2.9","UT",4,"1","443.31","69,789","71,490",8.6
2018,"M12","December","2.7","UT",4,"1","485.25","77,067","77,067",6.9
1984,"M12","December","5.1","VA",4,"1","124.57","26,525","61,229",10
1985,"M12","December","5.0","VA",4,"1","132.33","28,429","63,446",10
1986,"M12","December","4.5","VA",4,"1","142.44","29,715","65,176",9.7
1987,"M12","December","3.5","VA",4,"1","160.24","29,996","63,604",9.9
1988,"M12","December","3.6","VA",4,"1","177.92","32,648","66,814",10.8
1989,"M12","December","3.8","VA",4,"1","189.02","34,118","66,897",10.9
1990,"M12","December","5.4","VA",4,"1","186.52","35,073","65,538",11.1
1991,"M12","December","6.1","VA",4,"1","190.39","36,137","65,156",9.9
1992,"M12","December","5.6","VA",4,"1","192.9","38,198","67,201",9.5
1993,"M12","December","4.6","VA",4,"1","195.01","36,433","62,519",9.7
1994,"M12","December","4.1","VA",4,"1","194.72","37,647","63,281",10.7
1995,"M12","December","4.2","VA",4,"1","199.85","36,222","59,454",10.2
1996,"M12","December","4.1","VA",4,"1","202.41","39,211","62,690",12.3
1997,"M12","December","2.8","VA",4,"1","208.6","42,957","67,226",12.7
1998,"M12","December","2.4","VA",4,"1","214.86","43,354","66,941",8.8
1999,"M12","December","2.4","VA",4,"1","226.26","45,693","69,081",7.9
2000,"M12","December","1.8","VA",4,"1","242.97","47,163","68,964",8.3
2001,"M12","December","3.9","VA",4,"1","264.07","50,241","71,431",8
2002,"M12","December","4.0","VA",4,"1","287.76","49,631","69,468",9.9
2003,"M12","December","3.6","VA",4,"1","316.34","54,783","74,977",10
2004,"M12","December","3.5","VA",4,"1","370.67","51,141","68,151",9.4
2005,"M12","December","3.1","VA",4,"1","438.81","51,914","66,915",9.2
2006,"M12","December","2.8","VA",4,"1","466.37","57,119","71,312",8.6
2007,"M12","December","3.3","VA",4,"1","462.56","59,161","71,824",8.6
2008,"M12","December","4.9","VA",4,"1","431.17","61,985","72,469",10.3
2009,"M12","December","7.2","VA",4,"1","409.19","60,501","70,981",10.7
2010,"M12","December","6.7","VA",4,"1","402.96","60,367","69,675",10.7
2011,"M12","December","6.2","VA",4,"1","394.83","62,616","70,062",11.4
2012,"M12","December","5.6","VA",4,"1","394.38","64,632","70,818",10.6
2013,"M12","December","5.1","VA",4,"1","398.75","65,907","71,160",9.8
2014,"M12","December","4.6","VA",4,"1","413.2","66,155","70,239",10.2
2015,"M12","December","3.8","VA",4,"1","423.18","61,486","65,169",10.9
2016,"M12","December","3.8","VA",4,"1","435.93","66,451","69,535",11.4
2017,"M12","December","3.1","VA",4,"1","449.9","70,811","72,537",10.5
2017,"M12","December","3.1","VA",4,"1","449.9","70,811","72,537",10.3
2018,"M12","December","2.8","VA",4,"1","465.54","77,151","77,151",9.8
1984,"M12","December","4.4","VT",4,"1","126.9","22,578","52,118",12.6
1985,"M12","December","4.1","VT",4,"1","139.14","26,000","58,025",9.2
1986,"M12","December","3.6","VT",4,"1","158.48","24,599","53,954",11
1987,"M12","December","2.7","VT",4,"1","182.36","25,415","53,890",9.3
1988,"M12","December","2.7","VT",4,"1","203.09","28,988","59,324",8.1
1989,"M12","December","3.7","VT",4,"1","217.73","31,295","61,362",8
1990,"M12","December","5.8","VT",4,"1","216.33","31,098","58,110",10.9
1991,"M12","December","6.1","VT",4,"1","213.77","29,155","52,567",12.6
1992,"M12","December","5.2","VT",4,"1","216.82","32,755","57,625",10.5
1993,"M12","December","4.6","VT",4,"1","218.7","31,065","53,308",10
1994,"M12","December","3.9","VT",4,"1","217.8","35,802","60,180",7.6
1995,"M12","December","3.9","VT",4,"1","221.75","33,824","55,518",10.3
1996,"M12","December","3.8","VT",4,"1","221.2","32,358","51,734",12.6
1997,"M12","December","3.4","VT",4,"1","225.28","35,053","54,857",9.3
1998,"M12","December","2.8","VT",4,"1","232.67","39,372","60,792",9.9
1999,"M12","December","2.4","VT",4,"1","244.37","41,584","62,869",9.6
2000,"M12","December","2.6","VT",4,"1","264.49","39,594","57,896",10
2001,"M12","December","3.4","VT",4,"1","284.2","40,794","57,999",9.7
2002,"M12","December","4.0","VT",4,"1","304.35","42,999","60,186",9.9
2003,"M12","December","3.8","VT",4,"1","337.51","43,261","59,208",8.5
2004,"M12","December","3.3","VT",4,"1","382.53","47,329","63,071",7.8
2005,"M12","December","3.2","VT",4,"1","430.45","50,704","65,355",7.6
2006,"M12","December","3.5","VT",4,"1","455.14","51,981","64,897",7.8
2007,"M12","December","3.9","VT",4,"1","456.89","47,390","57,534",9.9
2008,"M12","December","5.3","VT",4,"1","453.49","50,706","59,283",9
2009,"M12","December","6.1","VT",4,"1","441.07","52,318","61,381",9.4
2010,"M12","December","5.7","VT",4,"1","441.97","55,928","64,551",10.8
2011,"M12","December","4.8","VT",4,"1","440.24","51,862","58,029",11.6
2012,"M12","December","4.4","VT",4,"1","438.23","55,582","60,901",11.2
2013,"M12","December","3.9","VT",4,"1","437","65,513","70,735",6.8
2014,"M12","December","3.5","VT",4,"1","439.62","60,708","64,455",9.3
2015,"M12","December","3.1","VT",4,"1","445.31","59,494","63,058",10.7
2016,"M12","December","2.8","VT",4,"1","455.31","60,837","63,660",9.6
2017,"M12","December","2.4","VT",4,"1","470.78","63,682","65,234",8.6
2017,"M12","December","2.4","VT",4,"1","470.78","63,682","65,234",10.2
2018,"M12","December","2.1","VT",4,"1","480.3","70,066","70,066",9.7
1984,"M12","December","9.0","WA",4,"1","110.19","25,017","57,748",11.3
1985,"M12","December","7.9","WA",4,"1","112.13","24,000","53,562",12
1986,"M12","December","8.0","WA",4,"1","115.93","26,881","58,960",12.9
1987,"M12","December","6.8","WA",4,"1","119.43","27,319","57,928",10
1988,"M12","December","5.8","WA",4,"1","127.55","32,327","66,157",8.7
1989,"M12","December","5.6","WA",4,"1","152.75","31,961","62,668",9.6
1990,"M12","December","5.8","WA",4,"1","177.24","32,112","60,005",8.9
1991,"M12","December","7.0","WA",4,"1","187.58","33,970","61,249",9.5
1992,"M12","December","7.8","WA",4,"1","194.83","33,900","59,639",11.2
1993,"M12","December","6.8","WA",4,"1","202.84","35,655","61,184",12.1
1994,"M12","December","6.1","WA",4,"1","209.91","33,533","56,366",11.7
1995,"M12","December","6.4","WA",4,"1","219.31","35,568","58,380",12.5
1996,"M12","December","5.5","WA",4,"1","224.71","36,676","58,637",11.9
1997,"M12","December","4.5","WA",4,"1","236.98","44,562","69,738",9.2
1998,"M12","December","4.8","WA",4,"1","252.46","47,421","73,220",8.9
1999,"M12","December","4.7","WA",4,"1","264.36","45,473","68,749",9.6
2000,"M12","December","5.3","WA",4,"1","278.91","42,525","62,182",10.8
2001,"M12","December","7.3","WA",4,"1","294.47","42,490","60,411",10.7
2002,"M12","December","7.4","WA",4,"1","307.96","45,183","63,243",11
2003,"M12","December","7.0","WA",4,"1","325.07","47,508","65,020",12.6
2004,"M12","December","5.9","WA",4,"1","362.21","49,922","66,527",11.4
2005,"M12","December","5.1","WA",4,"1","428.4","50,646","65,280",10.2
2006,"M12","December","4.9","WA",4,"1","482.71","54,723","68,321",8
2007,"M12","December","4.8","WA",4,"1","500.92","58,080","70,512",10.2
2008,"M12","December","6.6","WA",4,"1","469.92","56,631","66,210",10.4
2009,"M12","December","10.5","WA",4,"1","425.66","60,392","70,853",11.7
2010,"M12","December","9.6","WA",4,"1","405.94","56,163","64,822",11.6
2011,"M12","December","8.8","WA",4,"1","383.8","56,850","63,610",12.5
2012,"M12","December","7.6","WA",4,"1","385.9","62,187","68,139",11.6
2013,"M12","December","6.7","WA",4,"1","408.67","63,922","69,017",12.2
2014,"M12","December","5.9","WA",4,"1","437.6","59,068","62,714",12
2015,"M12","December","5.7","WA",4,"1","477.76","67,243","71,271",11.4
2016,"M12","December","5.0","WA",4,"1","527.44","70,310","73,573",11
2017,"M12","December","4.7","WA",4,"1","586.26","71,540","73,284",10.9
2017,"M12","December","4.7","WA",4,"1","586.26","71,540","73,284",9.9
2018,"M12","December","4.7","WA",4,"1","632.92","79,726","79,726",8.6
1984,"M12","December","6.5","WI",4,"1","106.32","20,743","47,882",15.5
1985,"M12","December","6.8","WI",4,"1","110.77","23,246","51,879",11.6
1986,"M12","December","6.1","WI",4,"1","114.36","26,430","57,970",10.7
1987,"M12","December","4.9","WI",4,"1","119.36","26,369","55,913",9
1988,"M12","December","3.8","WI",4,"1","125.02","29,575","60,525",7.8
1989,"M12","December","3.8","WI",4,"1","131.7","29,123","57,103",8.4
1990,"M12","December","4.5","WI",4,"1","137.98","30,711","57,387",9.3
1991,"M12","December","4.9","WI",4,"1","145.46","31,133","56,134",9.9
1992,"M12","December","4.3","WI",4,"1","153.58","33,308","58,598",10.9
1993,"M12","December","4.3","WI",4,"1","161.3","31,766","54,511",12.6
1994,"M12","December","3.3","WI",4,"1","175.63","35,388","59,484",9
1995,"M12","December","3.4","WI",4,"1","186.48","40,955","67,222",8.5
1996,"M12","December","3.1","WI",4,"1","194.17","40,001","63,953",8.8
1997,"M12","December","3.0","WI",4,"1","202.74","39,595","61,965",8.2
1998,"M12","December","3.0","WI",4,"1","209.57","41,327","63,811",8.8
1999,"M12","December","2.7","WI",4,"1","220.85","45,667","69,042",8.6
2000,"M12","December","3.3","WI",4,"1","235","45,088","65,929",9.3
2001,"M12","December","4.8","WI",4,"1","246.84","45,346","64,471",7.9
2002,"M12","December","5.1","WI",4,"1","258.89","45,903","64,250",8.6
2003,"M12","December","4.9","WI",4,"1","276.63","46,269","63,324",9.8
2004,"M12","December","4.4","WI",4,"1","298.38","45,732","60,943",12.4
2005,"M12","December","4.5","WI",4,"1","318.33","44,650","57,552",10.2
2006,"M12","December","4.5","WI",4,"1","325.79","51,692","64,536",10.1
2007,"M12","December","4.5","WI",4,"1","326.59","51,277","62,253",11
2008,"M12","December","6.0","WI",4,"1","317.42","51,200","59,860",9.8
2009,"M12","December","8.9","WI",4,"1","306.2","51,237","60,112",10.8
2010,"M12","December","7.7","WI",4,"1","301.75","50,351","58,114",10.1
2011,"M12","December","6.9","WI",4,"1","293.94","52,058","58,248",13.1
2012,"M12","December","6.6","WI",4,"1","291.51","53,079","58,159",11.4
2013,"M12","December","6.0","WI",4,"1","289.8","51,726","55,849",13.5
2014,"M12","December","4.5","WI",4,"1","298.34","58,080","61,665",10.9
2015,"M12","December","4.1","WI",4,"1","307.82","55,425","58,745",11.4
2016,"M12","December","3.4","WI",4,"1","321.34","59,817","62,593",10.7
2017,"M12","December","2.7","WI",4,"1","337.89","63,482","65,029",9.2
2017,"M12","December","2.7","WI",4,"1","337.89","63,482","65,029",9.5
2018,"M12","December","2.8","WI",4,"1","358.7","62,629","62,629",8.6
1984,"M12","December","14.4","WV",4,"1","87.28","16,843","38,880",20.4
1985,"M12","December","11.4","WV",4,"1","88.92","15,983","35,670",22.3
1986,"M12","December","10.6","WV",4,"1","98.95","16,464","36,111",22.4
1987,"M12","December","10.0","WV",4,"1","98.02","17,207","36,486",21.6
1988,"M12","December","8.7","WV",4,"1","98.54","19,353","39,606",17.9
1989,"M12","December","7.8","WV",4,"1","102.22","21,677","42,503",15.7
1990,"M12","December","9.6","WV",4,"1","104.83","22,137","41,366",18.1
1991,"M12","December","11.4","WV",4,"1","110.05","23,147","41,735",17.9
1992,"M12","December","10.8","WV",4,"1","114.68","20,271","35,662",22.3
1993,"M12","December","9.4","WV",4,"1","120.1","22,421","38,475",22.2
