"year","period","periodName","value","state","quarter","annual","HPI","MHI","RMHI","poverty","population","sp500"
2002,"M12","December","3.2","SD",4,"1",225.09,37873,53011,11.5,760020,-23.37
2003,"M12","December","3.7","SD",4,"1",237.32,39522,54090,12.7,763729,26.38
2004,"M12","December","3.9","SD",4,"1",250.48,41107,54780,13.5,770396,8.99
2005,"M12","December","3.5","SD",4,"1",268.23,43151,55620,11.8,775493,3
2006,"M12","December","3.1","SD",4,"1",278.17,45427,56715,10.7,783033,13.62
2007,"M12","December","2.7","SD",4,"1",287.93,46418,56354,9.4,791623,3.53
2008,"M12","December","3.9","SD",4,"1",293.35,51600,60328,13.1,799124,-38.49
2009,"M12","December","5.3","SD",4,"1",290.25,45826,53764,14.1,807067,23.45
2010,"M12","December","5.1","SD",4,"1",292.62,45352,52344,13.6,816463,12.78
2010,"M12","December","5.1","SD",4,"1",292.62,45352,52344,13.6,816165,12.78
2011,"M12","December","4.5","SD",4,"1",292.89,47223,52838,14.5,823484,0
2012,"M12","December","4.1","SD",4,"1",299.87,49415,54144,12.8,833496,13.41
2013,"M12","December","3.6","SD",4,"1",309.37,53413,57670,13.3,842270,29.6
2014,"M12","December","3.5","SD",4,"1",320.15,53053,56328,12.8,849088,11.39
2015,"M12","December","3.0","SD",4,"1",334.32,55065,58364,13.9,853933,-0.73
2016,"M12","December","3.3","SD",4,"1",349.78,57450,60116,14.5,862890,9.54
2017,"M12","December","3.4","SD",4,"1",368.93,56914,58301,10.7,873286,19.42
2017,"M12","December","3.4","SD",4,"1",368.93,56914,58301,10.4,873286,19.42
2018,"M12","December","3.2","SD",4,"1",387.16,59463,59463,10.6,882235,-6.24
1984,"M12","December","7.5","TN",4,"1",119.16,16782,38739,17.4,4686737,1.4
1985,"M12","December","7.7","TN",4,"1",125.85,17778,39676,18.1,4715296,26.33
1986,"M12","December","7.1","TN",4,"1",134.61,18256,40042,18.3,4738708,14.62
1987,"M12","December","5.5","TN",4,"1",142.94,21179,44908,16.9,4782927,2.03
1988,"M12","December","5.5","TN",4,"1",144.31,20856,42682,18,4822437,12.4
1989,"M12","December","4.9","TN",4,"1",147.05,22611,44335,18.4,4854444,27.25
1990,"M12","December","5.9","TN",4,"1",146.49,22592,42216,16.9,4890626,-6.56
1991,"M12","December","6.4","TN",4,"1",151.28,24453,44089,15.5,4946886,26.31
1992,"M12","December","6.2","TN",4,"1",155.3,24318,42782,17,5013999,4.46
1993,"M12","December","4.5","TN",4,"1",161.82,25102,43075,19.6,5085666,7.06
1994,"M12","December","4.1","TN",4,"1",169.38,28639,48140,14.6,5163016,-1.54
1995,"M12","December","4.7","TN",4,"1",180.33,29015,47624,15.5,5241168,34.11
1996,"M12","December","5.2","TN",4,"1",188.73,30790,49227,15.9,5313576,20.26
1997,"M12","December","4.3","TN",4,"1",197.97,30636,47944,14.3,5378433,31.01
1998,"M12","December","3.9","TN",4,"1",207.9,34091,52638,13.4,5432679,26.67
1999,"M12","December","3.5","TN",4,"1",212.5,36522,55216,11.9,5483535,19.53
2000,"M12","December","3.6","TN",4,"1",219.76,34096,49856,13.5,5703719,-10.14
2001,"M12","December","5.6","TN",4,"1",230.46,35783,50875,14.1,5750789,-13.04
2002,"M12","December","5.0","TN",4,"1",237.39,37030,51831,14.8,5795918,-23.37
2003,"M12","December","5.2","TN",4,"1",245.24,37523,51355,14,5847812,26.38
2004,"M12","December","5.6","TN",4,"1",256.66,38072,50735,15.9,5910809,8.99
2005,"M12","December","5.1","TN",4,"1",275.58,39406,50792,14.9,5991057,3
2006,"M12","December","4.4","TN",4,"1",294.5,40693,50804,14.9,6088766,13.62
2007,"M12","December","5.4","TN",4,"1",303.26,41195,50013,14.8,6175727,3.53
2008,"M12","December","8.1","TN",4,"1",300.03,39702,46417,15,6247411,-38.49
2009,"M12","December","10.3","TN",4,"1",289.71,40517,47535,16.5,6306019,23.45
2010,"M12","December","9.2","TN",4,"1",287.53,38591,44541,16.7,6356897,12.78
2010,"M12","December","9.2","TN",4,"1",287.53,38591,44541,16.7,6355301,12.78
2011,"M12","December","7.8","TN",4,"1",281.04,42279,47306,16.3,6397410,0
2012,"M12","December","7.7","TN",4,"1",281.07,42995,47110,18.6,6451281,13.41
2013,"M12","December","6.8","TN",4,"1",286.49,43361,46817,15.5,6493432,29.6
2014,"M12","December","5.9","TN",4,"1",300.54,43716,46415,17.3,6540826,11.39
2015,"M12","December","4.7","TN",4,"1",314.83,47330,50165,14.7,6590808,-0.73
2016,"M12","December","4.4","TN",4,"1",336.2,51344,53727,14.9,6645011,9.54
2017,"M12","December","3.3","TN",4,"1",361.05,55306,56654,11.3,6708794,19.42
2017,"M12","December","3.3","TN",4,"1",361.05,55306,56654,11.5,6708794,19.42
2018,"M12","December","3.2","TN",4,"1",386.75,56060,56060,12,6770010,-6.24
1984,"M12","December","5.8","TX",4,"1",129.26,23024,53148,15.7,16007086,1.4
1985,"M12","December","6.9","TX",4,"1",127.78,23743,52988,15.9,16272734,26.33
1986,"M12","December","8.5","TX",4,"1",127.63,24162,52996,17.3,16561113,14.62
1987,"M12","December","7.4","TX",4,"1",115.69,24721,52419,17.6,16621791,2.03
1988,"M12","December","6.5","TX",4,"1",113.77,24963,51086,18,16667022,12.4
1989,"M12","December","6.0","TX",4,"1",116.86,25886,50756,17.1,16806735,27.25
1990,"M12","December","6.3","TX",4,"1",117.16,28228,52747,15.9,17044714,-6.56
1991,"M12","December","7.0","TX",4,"1",121.32,27733,50003,17.5,17339904,26.31
1992,"M12","December","7.2","TX",4,"1",125.51,27953,49177,18.3,17650479,4.46
1993,"M12","December","6.4","TX",4,"1",129.71,28727,49296,17.4,17996764,7.06
1994,"M12","December","5.4","TX",4,"1",130.14,30755,51696,19.1,18338319,-1.54
1995,"M12","December","5.7","TX",4,"1",135.01,32039,52588,17.4,18679706,34.11
1996,"M12","December","5.2","TX",4,"1",136.92,33072,52875,16.6,19006240,20.26
1997,"M12","December","4.5","TX",4,"1",141.67,35075,54891,16.7,19355427,31.01
1998,"M12","December","4.3","TX",4,"1",148.81,35783,55251,15.1,19712389,26.67
1999,"M12","December","4.2","TX",4,"1",157.53,38688,58491,15.2,20044141,19.53
2000,"M12","December","3.5","TX",4,"1",166.87,38609,56456,15.5,20944499,-10.14
2001,"M12","December","5.6","TX",4,"1",177.13,40860,58093,14.9,21319622,-13.04
2002,"M12","December","6.2","TX",4,"1",183.83,40149,56196,15.6,21690325,-23.37
2003,"M12","December","5.8","TX",4,"1",187.61,39271,53747,17,22030931,26.38
2004,"M12","December","5.5","TX",4,"1",194.14,41397,55166,16.5,22394023,8.99
2005,"M12","December","5.0","TX",4,"1",203.82,41422,53391,16.2,22778123,3
2006,"M12","December","4.1","TX",4,"1",215.43,43307,54068,16.4,23359580,13.62
2007,"M12","December","4.2","TX",4,"1",224.3,46053,55911,16.5,23831983,3.53
2008,"M12","December","5.5","TX",4,"1",225.85,46490,54353,15.9,24309039,-38.49
2009,"M12","December","8.0","TX",4,"1",224.11,47475,55699,17.3,24801761,23.45
2010,"M12","December","7.8","TX",4,"1",223.2,47266,54554,18.4,25257114,12.78
2010,"M12","December","7.8","TX",4,"1",223.2,47266,54554,18.4,25242679,12.78
2011,"M12","December","6.9","TX",4,"1",220.88,49047,54879,17.4,25646227,0
2012,"M12","December","6.2","TX",4,"1",225.92,51926,56896,17,26089620,13.41
2013,"M12","December","5.4","TX",4,"1",238.32,51406,55503,16.9,26489464,29.6
2014,"M12","December","4.2","TX",4,"1",256.07,53875,57201,16.4,26977142,11.39
2015,"M12","December","4.2","TX",4,"1",274.97,56473,59856,14.7,27486814,-0.73
2016,"M12","December","4.5","TX",4,"1",295.5,58146,60844,13.8,27937492,9.54
2017,"M12","December","3.8","TX",4,"1",317.01,60092,61557,13.2,28322717,19.42
2017,"M12","December","3.8","TX",4,"1",317.01,60092,61557,13.4,28322717,19.42
2018,"M12","December","3.6","TX",4,"1",334.92,59785,59785,13.7,28701845,-6.24
1984,"M12","December","5.9","UT",4,"1",112.08,23057,53224,11.1,1622342,1.4
1985,"M12","December","5.4","UT",4,"1",115.32,25238,56325,10.9,1642910,26.33
1986,"M12","December","6.1","UT",4,"1",117.98,26281,57644,12.6,1662834,14.62
1987,"M12","December","5.1","UT",4,"1",112.83,26529,56252,10.2,1678119,2.03
1988,"M12","December","4.1","UT",4,"1",112.3,26313,53849,9.8,1689372,12.4
1989,"M12","December","4.0","UT",4,"1",115.49,30717,60229,8.2,1705864,27.25
1990,"M12","December","3.9","UT",4,"1",118.99,30142,56324,8.2,1729722,-6.56
1991,"M12","December","4.4","UT",4,"1",127.81,28016,50513,12.9,1771941,26.31
1992,"M12","December","4.2","UT",4,"1",137.47,34251,60257,9.4,1821498,4.46
1993,"M12","December","3.1","UT",4,"1",155.65,35786,61409,10.7,1875993,7.06
1994,"M12","December","3.4","UT",4,"1",179.76,35716,60035,8,1930436,-1.54
1995,"M12","December","2.8","UT",4,"1",200.14,36480,59877,8.4,1976774,34.11
1996,"M12","December","2.8","UT",4,"1",214.45,37038,59216,7.7,2022253,20.26
1997,"M12","December","2.8","UT",4,"1",227.44,42775,66941,8.9,2065397,31.01
1998,"M12","December","3.2","UT",4,"1",236.81,44299,68400,9,2100562,26.67
1999,"M12","December","2.6","UT",4,"1",235.38,46050,69621,5.7,2129836,19.53
2000,"M12","December","3.2","UT",4,"1",242.42,47550,69529,7.6,2244502,-10.14
2001,"M12","December","4.8","UT",4,"1",251.15,47342,67309,10.5,2283715,-13.04
2002,"M12","December","5.4","UT",4,"1",254.68,47861,66991,9.9,2324815,-23.37
2003,"M12","December","4.9","UT",4,"1",257.15,49275,67439,9.1,2360137,26.38
2004,"M12","December","4.1","UT",4,"1",270.5,50871,67791,10.1,2401580,8.99
2005,"M12","December","3.3","UT",4,"1",304.59,54813,70651,9.2,2457719,3
2006,"M12","December","2.1","UT",4,"1",355.84,54628,68202,9.3,2525507,13.62
2007,"M12","December","2.6","UT",4,"1",383.05,53529,64987,9.6,2597746,3.53
2008,"M12","December","5.1","UT",4,"1",363.54,62537,73115,7.6,2663029,-38.49
2009,"M12","December","7.6","UT",4,"1",328.17,58491,68623,9.7,2723421,23.45
2010,"M12","December","7.3","UT",4,"1",319.39,56701,65443,10,2776469,12.78
2010,"M12","December","7.3","UT",4,"1",319.39,56701,65443,10,2775334,12.78
2011,"M12","December","5.6","UT",4,"1",305.24,55493,62092,11,2814216,0
2012,"M12","December","4.8","UT",4,"1",314.41,58341,63924,11,2853467,13.41
2013,"M12","December","3.8","UT",4,"1",338.67,61047,65913,12.2,2897927,29.6
2014,"M12","December","3.3","UT",4,"1",354.93,63383,67296,10.2,2937399,11.39
2015,"M12","December","3.3","UT",4,"1",376.88,66258,70227,9.3,2982497,-0.73
2016,"M12","December","3.1","UT",4,"1",404.98,67481,70613,8.6,3042613,9.54
2017,"M12","December","2.9","UT",4,"1",443.31,69789,71490,8.7,3103118,19.42
2017,"M12","December","2.9","UT",4,"1",443.31,69789,71490,8.6,3103118,19.42
2018,"M12","December","2.7","UT",4,"1",485.25,77067,77067,6.9,3161105,-6.24
1984,"M12","December","5.1","VA",4,"1",124.57,26525,61229,10,5643870,1.4
1985,"M12","December","5.0","VA",4,"1",132.33,28429,63446,10,5715153,26.33
1986,"M12","December","4.5","VA",4,"1",142.44,29715,65176,9.7,5811700,14.62
1987,"M12","December","3.5","VA",4,"1",160.24,29996,63604,9.9,5932268,2.03
1988,"M12","December","3.6","VA",4,"1",177.92,32648,66814,10.8,6036909,12.4
1989,"M12","December","3.8","VA",4,"1",189.02,34118,66897,10.9,6120246,27.25
1990,"M12","December","5.4","VA",4,"1",186.52,35073,65538,11.1,6213526,-6.56
1991,"M12","December","6.1","VA",4,"1",190.39,36137,65156,9.9,6283853,26.31
1992,"M12","December","5.6","VA",4,"1",192.9,38198,67201,9.5,6383315,4.46
1993,"M12","December","4.6","VA",4,"1",195.01,36433,62519,9.7,6464795,7.06
1994,"M12","December","4.1","VA",4,"1",194.72,37647,63281,10.7,6536771,-1.54
1995,"M12","December","4.2","VA",4,"1",199.85,36222,59454,10.2,6601392,34.11
1996,"M12","December","4.1","VA",4,"1",202.41,39211,62690,12.3,6665491,20.26
1997,"M12","December","2.8","VA",4,"1",208.6,42957,67226,12.7,6732878,31.01
1998,"M12","December","2.4","VA",4,"1",214.86,43354,66941,8.8,6789225,26.67
1999,"M12","December","2.4","VA",4,"1",226.26,45693,69081,7.9,6872912,19.53
2000,"M12","December","1.8","VA",4,"1",242.97,47163,68964,8.3,7105817,-10.14
2001,"M12","December","3.9","VA",4,"1",264.07,50241,71431,8,7198362,-13.04
2002,"M12","December","4.0","VA",4,"1",287.76,49631,69468,9.9,7286873,-23.37
2003,"M12","December","3.6","VA",4,"1",316.34,54783,74977,10,7366977,26.38
2004,"M12","December","3.5","VA",4,"1",370.67,51141,68151,9.4,7475575,8.99
2005,"M12","December","3.1","VA",4,"1",438.81,51914,66915,9.2,7577105,3
2006,"M12","December","2.8","VA",4,"1",466.37,57119,71312,8.6,7673725,13.62
2007,"M12","December","3.3","VA",4,"1",462.56,59161,71824,8.6,7751000,3.53
2008,"M12","December","4.9","VA",4,"1",431.17,61985,72469,10.3,7833496,-38.49
2009,"M12","December","7.2","VA",4,"1",409.19,60501,70981,10.7,7925937,23.45
2010,"M12","December","6.7","VA",4,"1",402.96,60367,69675,10.7,8024617,12.78
2010,"M12","December","6.7","VA",4,"1",402.96,60367,69675,10.7,8023680,12.78
2011,"M12","December","6.2","VA",4,"1",394.83,62616,70062,11.4,8100469,0
2012,"M12","December","5.6","VA",4,"1",394.38,64632,70818,10.6,8185229,13.41
2013,"M12","December","5.1","VA",4,"1",398.75,65907,71160,9.8,8253053,29.6
2014,"M12","December","4.6","VA",4,"1",413.2,66155,70239,10.2,8312076,11.39
2015,"M12","December","3.8","VA",4,"1",423.18,61486,65169,10.9,8362907,-0.73
2016,"M12","December","3.8","VA",4,"1",435.93,66451,69535,11.4,8410946,9.54
2017,"M12","December","3.1","VA",4,"1",449.9,70811,72537,10.5,8465207,19.42
2017,"M12","December","3.1","VA",4,"1",449.9,70811,72537,10.3,8465207,19.42
2018,"M12","December","2.8","VA",4,"1",465.54,77151,77151,9.8,8517685,-6.24
1984,"M12","December","4.4","VT",4,"1",126.9,22578,52118,12.6,526660,1.4
1985,"M12","December","4.1","VT",4,"1",139.14,26000,58025,9.2,530035,26.33
1986,"M12","December","3.6","VT",4,"1",158.48,24599,53954,11,534066,14.62
1987,"M12","December","2.7","VT",4,"1",182.36,25415,53890,9.3,540267,2.03
1988,"M12","December","2.7","VT",4,"1",203.09,28988,59324,8.1,549763,12.4
1989,"M12","December","3.7","VT",4,"1",217.73,31295,61362,8,557707,27.25
1990,"M12","December","5.8","VT",4,"1",216.33,31098,58110,10.9,564526,-6.56
1991,"M12","December","6.1","VT",4,"1",213.77,29155,52567,12.6,567141,26.31
1992,"M12","December","5.2","VT",4,"1",216.82,32755,57625,10.5,570115,4.46
1993,"M12","December","4.6","VT",4,"1",218.7,31065,53308,10,574004,7.06
1994,"M12","December","3.9","VT",4,"1",217.8,35802,60180,7.6,578900,-1.54
1995,"M12","December","3.9","VT",4,"1",221.75,33824,55518,10.3,582827,34.11
1996,"M12","December","3.8","VT",4,"1",221.2,32358,51734,12.6,586352,20.26
1997,"M12","December","3.4","VT",4,"1",225.28,35053,54857,9.3,588665,31.01
1998,"M12","December","2.8","VT",4,"1",232.67,39372,60792,9.9,590579,26.67
1999,"M12","December","2.4","VT",4,"1",244.37,41584,62869,9.6,593740,19.53
2000,"M12","December","2.6","VT",4,"1",264.49,39594,57896,10,609618,-10.14
2001,"M12","December","3.4","VT",4,"1",284.2,40794,57999,9.7,612223,-13.04
2002,"M12","December","4.0","VT",4,"1",304.35,42999,60186,9.9,615442,-23.37
2003,"M12","December","3.8","VT",4,"1",337.51,43261,59208,8.5,617858,26.38
2004,"M12","December","3.3","VT",4,"1",382.53,47329,63071,7.8,619920,8.99
2005,"M12","December","3.2","VT",4,"1",430.45,50704,65355,7.6,621215,3
2006,"M12","December","3.5","VT",4,"1",455.14,51981,64897,7.8,622892,13.62
2007,"M12","December","3.9","VT",4,"1",456.89,47390,57534,9.9,623481,3.53
2008,"M12","December","5.3","VT",4,"1",453.49,50706,59283,9,624151,-38.49
2009,"M12","December","6.1","VT",4,"1",441.07,52318,61381,9.4,624817,23.45
2010,"M12","December","5.7","VT",4,"1",441.97,55928,64551,10.8,625960,12.78
2010,"M12","December","5.7","VT",4,"1",441.97,55928,64551,10.8,625880,12.78
2011,"M12","December","4.8","VT",4,"1",440.24,51862,58029,11.6,626979,0
2012,"M12","December","4.4","VT",4,"1",438.23,55582,60901,11.2,626063,13.41
2013,"M12","December","3.9","VT",4,"1",437,65513,70735,6.8,626212,29.6
2014,"M12","December","3.5","VT",4,"1",439.62,60708,64455,9.3,625218,11.39
2015,"M12","December","3.1","VT",4,"1",445.31,59494,63058,10.7,625197,-0.73
2016,"M12","December","2.8","VT",4,"1",455.31,60837,63660,9.6,623644,9.54
2017,"M12","December","2.4","VT",4,"1",470.78,63682,65234,8.6,624525,19.42
2017,"M12","December","2.4","VT",4,"1",470.78,63682,65234,10.2,624525,19.42
2018,"M12","December","2.1","VT",4,"1",480.3,70066,70066,9.7,626299,-6.24
1984,"M12","December","9.0","WA",4,"1",110.19,25017,57748,11.3,4343656,1.4
1985,"M12","December","7.9","WA",4,"1",112.13,24000,53562,12,4400098,26.33
1986,"M12","December","8.0","WA",4,"1",115.93,26881,58960,12.9,4452720,14.62
1987,"M12","December","6.8","WA",4,"1",119.43,27319,57928,10,4531901,2.03
1988,"M12","December","5.8","WA",4,"1",127.55,32327,66157,8.7,4639893,12.4
1989,"M12","December","5.6","WA",4,"1",152.75,31961,62668,9.6,4746316,27.25
1990,"M12","December","5.8","WA",4,"1",177.24,32112,60005,8.9,4900780,-6.56
1991,"M12","December","7.0","WA",4,"1",187.58,33970,61249,9.5,5013443,26.31
1992,"M12","December","7.8","WA",4,"1",194.83,33900,59639,11.2,5139011,4.46
1993,"M12","December","6.8","WA",4,"1",202.84,35655,61184,12.1,5247704,7.06
1994,"M12","December","6.1","WA",4,"1",209.91,33533,56366,11.7,5334896,-1.54
1995,"M12","December","6.4","WA",4,"1",219.31,35568,58380,12.5,5431024,34.11
1996,"M12","December","5.5","WA",4,"1",224.71,36676,58637,11.9,5509963,20.26
1997,"M12","December","4.5","WA",4,"1",236.98,44562,69738,9.2,5604105,31.01
1998,"M12","December","4.8","WA",4,"1",252.46,47421,73220,8.9,5687832,26.67
1999,"M12","December","4.7","WA",4,"1",264.36,45473,68749,9.6,5756361,19.53
2000,"M12","December","5.3","WA",4,"1",278.91,42525,62182,10.8,5910512,-10.14
2001,"M12","December","7.3","WA",4,"1",294.47,42490,60411,10.7,5985722,-13.04
2002,"M12","December","7.4","WA",4,"1",307.96,45183,63243,11,6052349,-23.37
2003,"M12","December","7.0","WA",4,"1",325.07,47508,65020,12.6,6104115,26.38
2004,"M12","December","5.9","WA",4,"1",362.21,49922,66527,11.4,6178645,8.99
2005,"M12","December","5.1","WA",4,"1",428.4,50646,65280,10.2,6257305,3
2006,"M12","December","4.9","WA",4,"1",482.71,54723,68321,8,6370753,13.62
2007,"M12","December","4.8","WA",4,"1",500.92,58080,70512,10.2,6461587,3.53
2008,"M12","December","6.6","WA",4,"1",469.92,56631,66210,10.4,6562231,-38.49
2009,"M12","December","10.5","WA",4,"1",425.66,60392,70853,11.7,6667426,23.45
2010,"M12","December","9.6","WA",4,"1",405.94,56163,64822,11.6,6744496,12.78
2010,"M12","December","9.6","WA",4,"1",405.94,56163,64822,11.6,6742902,12.78
2011,"M12","December","8.8","WA",4,"1",383.8,56850,63610,12.5,6821655,0
2012,"M12","December","7.6","WA",4,"1",385.9,62187,68139,11.6,6892876,13.41
2013,"M12","December","6.7","WA",4,"1",408.67,63922,69017,12.2,6962906,29.6
2014,"M12","December","5.9","WA",4,"1",437.6,59068,62714,12,7052439,11.39
2015,"M12","December","5.7","WA",4,"1",477.76,67243,71271,11.4,7163543,-0.73
2016,"M12","December","5.0","WA",4,"1",527.44,70310,73573,11,7294680,9.54
2017,"M12","December","4.7","WA",4,"1",586.26,71540,73284,10.9,7425432,19.42
2017,"M12","December","4.7","WA",4,"1",586.26,71540,73284,9.9,7425432,19.42
2018,"M12","December","4.7","WA",4,"1",632.92,79726,79726,8.6,7535591,-6.24
1984,"M12","December","6.5","WI",4,"1",106.32,20743,47882,15.5,4735563,1.4
1985,"M12","December","6.8","WI",4,"1",110.77,23246,51879,11.6,4747767,26.33
1986,"M12","December","6.1","WI",4,"1",114.36,26430,57970,10.7,4755618,14.62
1987,"M12","December","4.9","WI",4,"1",119.36,26369,55913,9,4777919,2.03
1988,"M12","December","3.8","WI",4,"1",125.02,29575,60525,7.8,4822388,12.4
1989,"M12","December","3.8","WI",4,"1",131.7,29123,57103,8.4,4856574,27.25
1990,"M12","December","4.5","WI",4,"1",137.98,30711,57387,9.3,4902265,-6.56
1991,"M12","December","4.9","WI",4,"1",145.46,31133,56134,9.9,4952675,26.31
1992,"M12","December","4.3","WI",4,"1",153.58,33308,58598,10.9,5004636,4.46
1993,"M12","December","4.3","WI",4,"1",161.3,31766,54511,12.6,5055318,7.06
1994,"M12","December","3.3","WI",4,"1",175.63,35388,59484,9,5095504,-1.54
1995,"M12","December","3.4","WI",4,"1",186.48,40955,67222,8.5,5137004,34.11
1996,"M12","December","3.1","WI",4,"1",194.17,40001,63953,8.8,5173828,20.26
1997,"M12","December","3.0","WI",4,"1",202.74,39595,61965,8.2,5200235,31.01
1998,"M12","December","3.0","WI",4,"1",209.57,41327,63811,8.8,5222124,26.67
1999,"M12","December","2.7","WI",4,"1",220.85,45667,69042,8.6,5250446,19.53
2000,"M12","December","3.3","WI",4,"1",235,45088,65929,9.3,5373999,-10.14
2001,"M12","December","4.8","WI",4,"1",246.84,45346,64471,7.9,5406835,-13.04
2002,"M12","December","5.1","WI",4,"1",258.89,45903,64250,8.6,5445162,-23.37
2003,"M12","December","4.9","WI",4,"1",276.63,46269,63324,9.8,5479203,26.38
2004,"M12","December","4.4","WI",4,"1",298.38,45732,60943,12.4,5514026,8.99
2005,"M12","December","4.5","WI",4,"1",318.33,44650,57552,10.2,5546166,3
2006,"M12","December","4.5","WI",4,"1",325.79,51692,64536,10.1,5577655,13.62
2007,"M12","December","4.5","WI",4,"1",326.59,51277,62253,11,5610775,3.53
2008,"M12","December","6.0","WI",4,"1",317.42,51200,59860,9.8,5640996,-38.49
2009,"M12","December","8.9","WI",4,"1",306.2,51237,60112,10.8,5669264,23.45
2010,"M12","December","7.7","WI",4,"1",301.75,50351,58114,10.1,5691047,12.78
2010,"M12","December","7.7","WI",4,"1",301.75,50351,58114,10.1,5690479,12.78
2011,"M12","December","6.9","WI",4,"1",293.94,52058,58248,13.1,5704755,0
2012,"M12","December","6.6","WI",4,"1",291.51,53079,58159,11.4,5719855,13.41
2013,"M12","December","6.0","WI",4,"1",289.8,51726,55849,13.5,5736952,29.6
2014,"M12","December","4.5","WI",4,"1",298.34,58080,61665,10.9,5751974,11.39
2015,"M12","December","4.1","WI",4,"1",307.82,55425,58745,11.4,5761406,-0.73
2016,"M12","December","3.4","WI",4,"1",321.34,59817,62593,10.7,5772958,9.54
2017,"M12","December","2.7","WI",4,"1",337.89,63482,65029,9.2,5792051,19.42
2017,"M12","December","2.7","WI",4,"1",337.89,63482,65029,9.5,5792051,19.42
2018,"M12","December","2.8","WI",4,"1",358.7,62629,62629,8.6,5813568,-6.24
1984,"M12","December","14.4","WV",4,"1",87.28,16843,38880,20.4,1927697,1.4
1985,"M12","December","11.4","WV",4,"1",88.92,15983,35670,22.3,1906831,26.33
1986,"M12","December","10.6","WV",4,"1",98.95,16464,36111,22.4,1882350,14.62
1987,"M12","December","10.0","WV",4,"1",98.02,17207,36486,21.6,1857585,2.03
1988,"M12","December","8.7","WV",4,"1",98.54,19353,39606,17.9,1830215,12.4
1989,"M12","December","7.8","WV",4,"1",102.22,21677,42503,15.7,1806568,27.25
1990,"M12","December","9.6","WV",4,"1",104.83,22137,41366,18.1,1792481,-6.56
1991,"M12","December","11.4","WV",4,"1",110.05,23147,41735,17.9,1798212,26.31
1992,"M12","December","10.8","WV",4,"1",114.68,20271,35662,22.3,1805462,4.46
1993,"M12","December","9.4","WV",4,"1",120.1,22421,38475,22.2,1816179,7.06
1994,"M12","December","7.5","WV",4,"1",125.11,23564,39609,18.6,1818490,-1.54
1995,"M12","December","7.5","WV",4,"1",132.4,24880,40837,16.7,1820560,34.11
1996,"M12","December","7.1","WV",4,"1",135.38,25247,40365,18.5,1818983,20.26
1997,"M12","December","6.5","WV",4,"1",141.31,27488,43018,16.4,1815588,31.01
1998,"M12","December","6.0","WV",4,"1",147.89,26704,41232,17.8,1811688,26.67
1999,"M12","December","5.6","WV",4,"1",147.59,29297,44293,15.7,1806928,19.53
2000,"M12","December","5.1","WV",4,"1",152.78,29411,43006,14.7,1807021,-10.14
2001,"M12","December","4.8","WV",4,"1",161.05,29673,42188,16.4,1801481,-13.04
2002,"M12","December","5.7","WV",4,"1",167.48,29359,41094,16.8,1805414,-23.37
2003,"M12","December","5.2","WV",4,"1",173.46,32763,44840,17.4,1812295,26.38
2004,"M12","December","4.7","WV",4,"1",186.29,33373,44473,14.2,1816438,8.99
2005,"M12","December","4.3","WV",4,"1",205.96,36445,46976,15.4,1820492,3
2006,"M12","December","4.2","WV",4,"1",213.4,38419,47965,15.3,1827912,13.62
2007,"M12","December","4.3","WV",4,"1",216.6,42091,51101,14.8,1834052,3.53
2008,"M12","December","4.7","WV",4,"1",210.95,37994,44420,14.5,1840310,-38.49
2009,"M12","December","8.1","WV",4,"1",206.57,40490,47504,15.8,1847775,23.45
2010,"M12","December","8.6","WV",4,"1",209.12,42777,49372,16.8,1853973,12.78
2010,"M12","December","8.6","WV",4,"1",209.12,42777,49372,16.8,1854214,12.78
2011,"M12","December","7.3","WV",4,"1",206.03,41821,46794,17.5,1856074,0
2012,"M12","December","7.3","WV",4,"1",206.53,43553,47721,16.7,1856764,13.41
2013,"M12","December","6.4","WV",4,"1",210.63,43069,46502,19.8,1853873,29.6
2014,"M12","December","6.1","WV",4,"1",214.68,39552,41993,20.6,1849467,11.39
2015,"M12","December","6.0","WV",4,"1",219.37,42824,45389,14.5,1841996,-0.73
2016,"M12","December","5.1","WV",4,"1",224.61,44354,46412,18,1830929,9.54
2017,"M12","December","5.1","WV",4,"1",229.14,46957,48102,17.1,1817048,19.42
2017,"M12","December","5.1","WV",4,"1",229.14,46957,48102,17.3,1817048,19.42
2018,"M12","December","4.7","WV",4,"1",230.86,50573,50573,15.9,1805832,-6.24
1984,"M12","December","6.4","WY",4,"1",96.1,23816,54976,10.9,504896,1.4
1985,"M12","December","7.5","WY",4,"1",94.35,22081,49279,12,499695,26.33
1986,"M12","December","9.4","WY",4,"1",90.91,23559,51673,14.6,495633,14.62
1987,"M12","December","7.1","WY",4,"1",79.25,27590,58502,10.8,476965,2.03
1988,"M12","December","6.7","WY",4,"1",81.49,26419,54066,9.6,465101,12.4
1989,"M12","December","6.0","WY",4,"1",83.94,29521,57884,10.9,458374,27.25
1990,"M12","December","5.4","WY",4,"1",90.01,29460,55050,11,453401,-6.56
1991,"M12","December","5.9","WY",4,"1",95.9,29050,52378,9.9,457739,26.31
1992,"M12","December","5.5","WY",4,"1",102.44,30209,53146,10.3,463491,4.46
1993,"M12","December","5.4","WY",4,"1",111.18,29442,50523,13.3,469033,7.06
1994,"M12","December","4.7","WY",4,"1",121.98,33140,55705,9.3,474982,-1.54
1995,"M12","December","4.8","WY",4,"1",130.92,31529,51751,12.2,478447,34.11
