"year","period","periodName","value","state","quarter","annual"
1983,"M12","December","6.3","DE",4,"1"
1984,"M12","December","5.2","DE",4,"1"
1985,"M12","December","3.8","DE",4,"1"
1986,"M12","December","2.6","DE",4,"1"
1987,"M12","December","2.6","DE",4,"1"
1988,"M12","December","2.7","DE",4,"1"
1989,"M12","December","3.2","DE",4,"1"
1990,"M12","December","6.3","DE",4,"1"
1991,"M12","December","5.1","DE",4,"1"
1992,"M12","December","4.4","DE",4,"1"
1993,"M12","December","4.9","DE",4,"1"
1994,"M12","December","3.6","DE",4,"1"
1995,"M12","December","4.4","DE",4,"1"
1996,"M12","December","4.6","DE",4,"1"
1997,"M12","December","3.2","DE",4,"1"
1998,"M12","December","2.8","DE",4,"1"
1999,"M12","December","3.1","DE",4,"1"
2000,"M12","December","3.5","DE",4,"1"
2001,"M12","December","3.3","DE",4,"1"
2002,"M12","December","3.6","DE",4,"1"
2003,"M12","December","3.5","DE",4,"1"
2004,"M12","December","3.6","DE",4,"1"
2005,"M12","December","3.8","DE",4,"1"
2006,"M12","December","2.9","DE",4,"1"
2007,"M12","December","3.4","DE",4,"1"
2008,"M12","December","6.3","DE",4,"1"
2009,"M12","December","8.4","DE",4,"1"
2010,"M12","December","7.6","DE",4,"1"
2011,"M12","December","6.7","DE",4,"1"
2012,"M12","December","6.8","DE",4,"1"
2013,"M12","December","5.7","DE",4,"1"
2014,"M12","December","4.6","DE",4,"1"
2015,"M12","December","4.2","DE",4,"1"
2016,"M12","December","4.1","DE",4,"1"
2017,"M12","December","3.8","DE",4,"1"
2018,"M12","December","3.1","DE",4,"1"
2019,"M12","December","3.5","DE",4,"1"
1976,"M12","December","8.7","FL",4,"1"
1977,"M12","December","6.6","FL",4,"1"
1978,"M12","December","6.2","FL",4,"1"
1979,"M12","December","5.0","FL",4,"1"
1980,"M12","December","5.8","FL",4,"1"
1981,"M12","December","7.2","FL",4,"1"
1982,"M12","December","9.1","FL",4,"1"
1983,"M12","December","6.8","FL",4,"1"
1984,"M12","December","5.8","FL",4,"1"
1985,"M12","December","5.3","FL",4,"1"
1986,"M12","December","5.2","FL",4,"1"
1987,"M12","December","4.7","FL",4,"1"
1988,"M12","December","4.9","FL",4,"1"
1989,"M12","December","5.3","FL",4,"1"
1990,"M12","December","6.4","FL",4,"1"
1991,"M12","December","7.9","FL",4,"1"
1992,"M12","December","7.2","FL",4,"1"
1993,"M12","December","6.4","FL",4,"1"
1994,"M12","December","5.2","FL",4,"1"
1995,"M12","December","5.1","FL",4,"1"
1996,"M12","December","4.6","FL",4,"1"
1997,"M12","December","4.2","FL",4,"1"
1998,"M12","December","3.6","FL",4,"1"
1999,"M12","December","3.3","FL",4,"1"
2000,"M12","December","3.3","FL",4,"1"
2001,"M12","December","5.8","FL",4,"1"
2002,"M12","December","5.2","FL",4,"1"
2003,"M12","December","4.5","FL",4,"1"
2004,"M12","December","4.2","FL",4,"1"
2005,"M12","December","3.0","FL",4,"1"
2006,"M12","December","3.2","FL",4,"1"
2007,"M12","December","4.7","FL",4,"1"
2008,"M12","December","8.1","FL",4,"1"
2009,"M12","December","11.1","FL",4,"1"
2010,"M12","December","10.7","FL",4,"1"
2011,"M12","December","9.0","FL",4,"1"
2012,"M12","December","7.8","FL",4,"1"
2013,"M12","December","6.3","FL",4,"1"
2014,"M12","December","5.6","FL",4,"1"
2015,"M12","December","4.9","FL",4,"1"
2016,"M12","December","4.5","FL",4,"1"
2017,"M12","December","3.8","FL",4,"1"
