Year,State,MHI,RMHI
1984,AK,"32,356","74,689"
1985,AK,"34,782","77,625"
1986,AK,"31,356","68,775"
1987,AK,"33,233","70,468"
1988,AK,"33,103","67,745"
1989,AK,"36,006","70,599"
1990,AK,"39,298","73,433"
1991,AK,"40,612","73,224"
1992,AK,"41,802","73,541"
1993,AK,"42,931","73,670"
1994,AK,"45,367","76,258"
1995,AK,"47,954","78,710"
1996,AK,"52,779","84,383"
1997,AK,"47,994","75,109"
1998,AK,"50,692","78,271"
1999,AK,"51,396","77,703"
2000,AK,"52,847","77,275"
2001,AK,"57,363","81,556"
2002,AK,"52,774","73,868"
2003,AK,"51,837","70,945"
2004,AK,"55,063","73,378"
2005,AK,"55,891","72,041"
2006,AK,"56,418","70,437"
2007,AK,"62,993","76,477"
2008,AK,"63,989","74,812"
2009,AK,"61,604","72,275"
2010,AK,"57,848","66,767"
2011,AK,"57,431","64,260"
2012,AK,"63,648","69,739"
2013,AK,"72,472","78,249"
2014,AK,"67,629","71,804"
2015,AK,"75,112","79,611"
2016,AK,"75,723","79,237"
2017,AK,"77,987","79,888"
2018,AK,"68,734","68,734"
1984,AL,"17,310","39,958"
1985,AL,"18,333","40,915"
1986,AL,"19,132","41,963"
1987,AL,"19,734","41,844"
1988,AL,"19,948","40,823"
1989,AL,"21,284","41,733"
1990,AL,"23,357","43,645"
1991,AL,"24,346","43,896"
1992,AL,"25,808","45,403"
1993,AL,"25,082","43,041"
1994,AL,"27,196","45,714"
1995,AL,"25,991","42,661"
1996,AL,"30,302","48,447"
1997,AL,"31,939","49,983"
1998,AL,"36,266","55,997"
1999,AL,"36,251","54,806"
2000,AL,"35,424","51,798"
2001,AL,"35,160","49,989"
2002,AL,"37,603","52,633"
2003,AL,"37,255","50,988"
2004,AL,"36,629","48,812"
2005,AL,"37,150","47,885"
2006,AL,"37,952","47,382"
2007,AL,"42,212","51,248"
2008,AL,"44,476","51,999"
2009,AL,"39,980","46,905"
2010,AL,"40,933","47,244"
2011,AL,"42,590","47,654"
2012,AL,"43,464","47,624"
2013,AL,"47,320","51,092"
2014,AL,"42,278","44,888"
2015,AL,"44,509","47,175"
2016,AL,"47,221","49,412"
2017,AL,"50,865","52,105"
2018,AL,"49,936","49,936"
1984,AR,"15,674","36,181"
1985,AR,"17,451","38,946"
1986,AR,"18,730","41,082"
1987,AR,"18,827","39,921"
1988,AR,"20,172","41,282"
1989,AR,"21,433","42,025"
1990,AR,"22,786","42,578"
1991,AR,"23,435","42,254"
1992,AR,"23,882","42,015"
1993,AR,"23,039","39,535"
1994,AR,"25,565","42,972"
1995,AR,"25,814","42,370"
1996,AR,"27,123","43,364"
1997,AR,"26,162","40,942"
1998,AR,"27,665","42,716"
1999,AR,"29,682","44,875"
2000,AR,"29,697","43,424"
2001,AR,"33,339","47,400"
2002,AR,"32,387","45,332"
2003,AR,"32,002","43,798"
2004,AR,"34,984","46,620"
2005,AR,"36,658","47,250"
2006,AR,"37,057","46,265"
2007,AR,"40,795","49,527"
2008,AR,"39,586","46,282"
2009,AR,"36,538","42,867"
2010,AR,"38,587","44,536"
2011,AR,"41,302","46,213"
2012,AR,"39,018","42,752"
2013,AR,"39,376","42,515"
2014,AR,"44,922","47,695"
2015,AR,"42,798","45,362"
2016,AR,"45,907","48,037"
2017,AR,"49,751","50,964"
2018,AR,"49,781","49,781"
1984,AZ,"21,425","49,457"
1985,AZ,"23,877","53,287"
1986,AZ,"25,500","55,931"
1987,AZ,"26,749","56,719"
1988,AZ,"26,435","54,099"
1989,AZ,"28,552","55,984"
1990,AZ,"29,224","54,609"
1991,AZ,"30,737","55,420"
1992,AZ,"29,358","51,649"
1993,AZ,"30,510","52,355"
1994,AZ,"31,293","52,601"
1995,AZ,"30,863","50,658"
1996,AZ,"31,637","50,581"
1997,AZ,"32,740","51,237"
1998,AZ,"37,090","57,269"
1999,AZ,"36,995","55,931"
2000,AZ,"39,783","58,172"
2001,AZ,"42,704","60,715"
2002,AZ,"39,734","55,616"
2003,AZ,"41,166","56,340"
2004,AZ,"43,846","58,430"
2005,AZ,"45,245","58,319"
2006,AZ,"46,657","58,250"
2007,AZ,"47,215","57,321"
2008,AZ,"46,914","54,849"
2009,AZ,"45,739","53,662"
2010,AZ,"46,896","54,127"
2011,AZ,"48,621","54,403"
2012,AZ,"47,044","51,546"
2013,AZ,"52,611","56,805"
2014,AZ,"49,254","52,294"
2015,AZ,"52,248","55,378"
2016,AZ,"57,100","59,750"
2017,AZ,"59,700","61,155"
2018,AZ,"62,283","62,283"
1984,CA,"25,287","58,372"
1985,CA,"26,981","60,215"
1986,CA,"29,010","63,629"
1987,CA,"30,146","63,922"
1988,CA,"30,287","61,982"
1989,CA,"33,009","64,723"
1990,CA,"33,290","62,206"
1991,CA,"33,664","60,697"
1992,CA,"34,903","61,404"
1993,CA,"34,073","58,470"
1994,CA,"35,331","59,388"
1995,CA,"37,009","60,745"
1996,CA,"38,812","62,052"
1997,CA,"39,694","62,120"
1998,CA,"40,934","63,204"
1999,CA,"43,629","65,961"
2000,CA,"46,816","68,456"
2001,CA,"47,262","67,195"
2002,CA,"47,437","66,397"
2003,CA,"49,300","67,473"
2004,CA,"49,222","65,594"
2005,CA,"51,755","66,710"
2006,CA,"55,319","69,065"
2007,CA,"55,734","67,664"
2008,CA,"57,014","66,658"
2009,CA,"56,134","65,858"
2010,CA,"54,283","62,652"
2011,CA,"53,367","59,713"
2012,CA,"57,020","62,477"
2013,CA,"60,794","65,640"
2014,CA,"60,487","64,221"
2015,CA,"63,636","67,448"
2016,CA,"66,637","69,729"
2017,CA,"70,038","71,745"
2018,CA,"70,489","70,489"
1984,CO,"25,801","59,558"
1985,CO,"28,182","62,895"
1986,CO,"27,192","59,642"
1987,CO,"26,476","56,140"
1988,CO,"26,214","53,647"
1989,CO,"26,806","52,560"
1990,CO,"30,733","57,428"
1991,CO,"31,499","56,793"
1992,CO,"32,484","57,148"
1993,CO,"34,488","59,182"
1994,CO,"37,833","63,594"
1995,CO,"40,706","66,813"
1996,CO,"40,950","65,470"
1997,CO,"43,233","67,658"
1998,CO,"46,599","71,951"
1999,CO,"48,177","72,837"
2000,CO,"48,240","70,538"
2001,CO,"49,397","70,231"
2002,CO,"48,294","67,597"
2003,CO,"49,940","68,349"
2004,CO,"50,886","67,811"
2005,CO,"50,449","65,026"
2006,CO,"55,697","69,537"
2007,CO,"61,141","74,228"
2008,CO,"60,943","71,251"
2009,CO,"55,930","65,618"
2010,CO,"60,233","69,520"
2011,CO,"58,629","65,601"
2012,CO,"57,255","62,735"
2013,CO,"67,912","73,325"
2014,CO,"60,940","64,702"
2015,CO,"66,596","70,585"
2016,CO,"70,566","73,841"
2017,CO,"74,984","76,812"
2018,CO,"73,034","73,034"
1984,CT,"29,951","69,138"
1985,CT,"31,090","69,385"
1986,CT,"32,721","71,769"
1987,CT,"32,862","69,681"
1988,CT,"36,213","74,109"
1989,CT,"42,321","82,981"
1990,CT,"38,870","72,633"
1991,CT,"42,154","76,005"
1992,CT,"40,841","71,851"
1993,CT,"39,516","67,810"
1994,CT,"41,097","69,080"
1995,CT,"40,243","66,054"
1996,CT,"42,119","67,339"
1997,CT,"43,985","68,835"
1998,CT,"46,508","71,811"
1999,CT,"50,593","76,489"
2000,CT,"50,172","73,363"
2001,CT,"53,347","75,847"
2002,CT,"53,387","74,726"
2003,CT,"54,965","75,226"
2004,CT,"55,100","73,427"
2005,CT,"56,835","73,258"
2006,CT,"62,404","77,910"
2007,CT,"64,141","77,870"
2008,CT,"64,682","75,623"
2009,CT,"64,851","76,085"
2010,CT,"65,998","76,174"
2011,CT,"65,415","73,194"
2012,CT,"64,247","70,396"
2013,CT,"69,291","74,814"
2014,CT,"70,161","74,492"
2015,CT,"72,889","77,255"
2016,CT,"75,923","79,446"
2017,CT,"74,304","76,115"
2018,CT,"72,812","72,812"
1984,DE,"25,819","59,600"
1985,DE,"22,980","51,285"
1986,DE,"25,626","56,207"
1987,DE,"29,244","62,009"
1988,DE,"30,505","62,428"
1989,DE,"32,068","62,878"
1990,DE,"30,804","57,561"
1991,DE,"32,585","58,752"
1992,DE,"35,678","62,767"
1993,DE,"36,064","61,886"
1994,DE,"35,873","60,299"
1995,DE,"34,928","57,330"
1996,DE,"39,309","62,847"
1997,DE,"43,033","67,345"
1998,DE,"41,458","64,013"
1999,DE,"46,628","70,495"
2000,DE,"50,365","73,646"
2001,DE,"49,602","70,522"
2002,DE,"49,650","69,495"
2003,DE,"49,019","67,088"
2004,DE,"48,049","64,031"
2005,DE,"51,235","66,039"
2006,DE,"52,438","65,468"
2007,DE,"54,589","66,274"
2008,DE,"50,702","59,278"
2009,DE,"52,114","61,141"
2010,DE,"55,214","63,727"
2011,DE,"54,660","61,160"
2012,DE,"48,972","53,659"
2013,DE,"54,091","58,402"
2014,DE,"57,522","61,073"
2015,DE,"57,756","61,216"
2016,DE,"58,046","60,740"
2017,DE,"64,961","66,545"
2018,DE,"65,012","65,012"
1984,DC,"20,408","47,109"
1985,DC,"21,076","47,036"
1986,DC,"24,322","53,347"
1987,DC,"27,455","58,216"
1988,DC,"26,741","54,725"
1989,DC,"26,752","52,454"
1990,DC,"27,392","51,185"
1991,DC,"29,885","53,883"
1992,DC,"30,247","53,213"
1993,DC,"27,304","46,854"
1994,DC,"30,116","50,622"
1995,DC,"30,748","50,469"
1996,DC,"31,966","51,107"
1997,DC,"31,860","49,860"
1998,DC,"33,433","51,622"
1999,DC,"38,670","58,463"
2000,DC,"41,222","60,276"
2001,DC,"41,169","58,532"
2002,DC,"39,070","54,686"
2003,DC,"45,044","61,648"
2004,DC,"43,451","57,903"
2005,DC,"44,993","57,994"
2006,DC,"48,477","60,523"
2007,DC,"50,783","61,653"
2008,DC,"55,590","64,993"
2009,DC,"53,141","62,346"
2010,DC,"56,928","65,705"
2011,DC,"55,251","61,821"
2012,DC,"65,246","71,490"
2013,DC,"60,057","64,844"
2014,DC,"68,277","72,492"
2015,DC,"70,071","74,268"
2016,DC,"70,982","74,276"
2017,DC,"81,282","83,263"
2018,DC,"85,750","85,750"
1984,FL,"19,785","45,671"
1985,FL,"21,343","47,632"
1986,FL,"22,849","50,116"
1987,FL,"24,489","51,927"
1988,FL,"25,406","51,993"
1989,FL,"26,085","51,147"
1990,FL,"26,685","49,864"
1991,FL,"27,252","49,136"
1992,FL,"27,349","48,114"
1993,FL,"28,550","48,992"
1994,FL,"29,294","49,241"
1995,FL,"29,745","48,822"
1996,FL,"30,641","48,989"
1997,FL,"32,455","50,791"
1998,FL,"34,909","53,901"
1999,FL,"35,831","54,171"
2000,FL,"38,856","56,817"
2001,FL,"36,421","51,782"
2002,FL,"38,024","53,222"
2003,FL,"38,972","53,338"
2004,FL,"40,535","54,017"
2005,FL,"42,990","55,412"
2006,FL,"45,676","57,026"
2007,FL,"45,794","55,596"
2008,FL,"44,857","52,444"
2009,FL,"45,631","53,535"
2010,FL,"44,066","50,860"
2011,FL,"45,105","50,468"
2012,FL,"46,071","50,480"
2013,FL,"48,532","52,400"
2014,FL,"46,140","48,988"
2015,FL,"48,825","51,750"
2016,FL,"51,176","53,551"
2017,FL,"53,086","54,380"
2018,FL,"54,644","54,644"
1984,GA,"19,984","46,130"
1985,GA,"21,049","46,976"
1986,GA,"24,370","53,452"
1987,GA,"26,714","56,645"
1988,GA,"26,566","54,367"
1989,GA,"27,542","54,003"
1990,GA,"27,561","51,501"
1991,GA,"27,212","49,064"
1992,GA,"28,797","50,662"
